bossEntityList-int[],entityList-int[][],entityMaximum-int,entityType-int,id-int,name-string,sceneAreaId-int,trapEntityList-int[][],desc-string,punishDesc-string
"1000,95,2,1000,2000","1000,111,2,1000,2000",6,1,1,@@ Test-Monster ,0,,,
"1000,112,2,1000,2000",,6,2,2, Test-Kaynak ,0,,,
"1000,832,2,1000,2000","1000,146,2,1000,2000",6,3,3, Test-Tohum ,0,,,
"1000,95,2,1000,2000","1000,111,2,1000,2000",6,1,4, Test-Monster ,0,,,
"1000,112,2,1000,2000",,6,2,5, Test-Kaynak ,0,,,
"1000,832,2,1000,2000","1000,146,2,1000,2000",6,3,6, Test-Tohum ,0,,,
,"1000,6,2,1000,1100;1000,7,2,1000,1100;1000,8,2,1000,1100",6,1,7, Savaş Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1100,1200;1000,7,2,1100,1200;1000,8,2,1100,1200",6,1,8, Savaş Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1200,1300;1000,7,2,1200,1300;1000,8,2,1200,1300",6,1,9, Savaş Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1300,1400;1000,7,2,1300,1400;1000,8,2,1300,1400",6,1,10, Savaş Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
"1000,54,1,1000,1000",,6,1,11, Savaş Patronu Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1500,1600;1000,7,2,1500,1600;1000,8,2,1500,1600",6,1,12, Savaş Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1600,1700;1000,7,2,1600,1700;1000,8,2,1600,1700",6,1,13, Savaş Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1700,1800;1000,7,2,1700,1800;1000,8,2,1700,1800",6,1,14, Savaş Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1800,1900;1000,7,2,1800,1900;1000,8,2,1800,1900",6,1,15, Savaş Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
"1000,54,1,1500,1500",,6,1,16, Savaş Patronu Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,9,2,2000,2100;1000,11,2,2000,2100;1000,10,2,2000,2100",6,1,17, Savaş Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,9,2,2100,2200;1000,11,2,2100,2200;1000,10,2,2100,2200",6,1,18, Savaş Meydan Okuma Seviyesi ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
