IsBeHitBreakable-bool,IsIndependentLogic-bool,accuBreakable-bool,accuTime-int,attackCanMove-bool,effectEnemy-int[],effectForward-int[],forwardReleaseTime-int,id-int,isAutoUse-bool,isCheckHit-bool,isHoldSkill-bool,isReleaseEffFollow-bool,isReleastActLoop-bool,isRemote-bool,playProgress-bool,rangeTips-bool,releaseAct-string,releaseEff-string,releaseSound-string[],releaseSpd-int,releaseTime-int,searchTarget-int[][],skillCD-int,skillDesc-string,skillDistance-int,skillFlag-int[],skillFlyerId-int,skillName-string,skillRange-int[],skillShake-string[],targetFlag-int[],targetLock-bool,targetType-int[],homeAction-int[],homeAttRate-int,relyWeaponSubtype-int[],effectSelf-int[],skillIcon-string,hitEff-string,animRotate-int,skillAlertEffect-string,skillFlyerNum-int,accuEff-int,effectInit-int[],composeSkill-int[],costPropType-int[],maxAccuTime-int,itemCost-int[][],accuTab-string
0,0,0,0,0,"1,239",214,150,14,0,1,0,1,0,0,0,1,skill_attack1,Skill_punch_attack1,Punch,14,550,1,-1,Barehanded Attack - Hareket 1.,350,2,0,Barehanded Attack: Yalın Elle Saldırı,"4,300,150,16000,0",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,,
0,0,0,0,0,"15,239",214,150,15,0,1,0,1,0,0,0,1,skill_attack2,Skill_punch_attack2,Punch,14,550,1,-1, Barehanded Attack - Hareket 2.,350,2,0, Barehanded Attack: Yalın Elle Saldırı,"4,300,150,16000,0",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386",214,150,16,0,1,0,1,0,0,0,1,skill_attack3,Skill_punch_attack3,Punch2,14,550,1,-1, Barehanded Attack - Hareket 3.,350,2,0, Barehanded Attack: Yalın Elle Saldırı,"4,300,150,16000,0",CameraShakeGrade_2,1,0,1,,,,,,,,,,,,,,,,
0,0,0,0,0,"239,385,567",31,150,17,0,1,0,1,0,0,0,1,skill_sword_attack1,skill_sword_attack1,knife01,14,620,1,-1, Kılıç Saldırısı - Hareket 1.,400,2,0, Sword Attack: Kılıç Saldırısı,"4,300,300,27000,0",CameraShakeGrade_1,1,0,1,5,333,1,,,,,,,,,,,,,
0,0,0,0,0,"15,239,567",31,150,18,0,1,0,1,0,0,0,1,skill_sword_attack2,skill_sword_attack2,knife02,14,620,1,-1, Kılıç Saldırısı - Hareket 2.,400,2,0, Sword Attack: Kılıç Saldırısı,"4,300,300,27000,0",CameraShakeGrade_1,1,0,1,5,333,1,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386,567",31,150,19,0,1,0,1,0,0,0,1,skill_sword_attack3,skill_sword_attack3,knife03,14,670,1,-1, Kılıç Saldırısı - Hareket 3.,400,2,0, Sword Attack: Kılıç Saldırısı,"4,300,300,27000,0",CameraShakeGrade_2,1,0,1,5,333,1,,,,,,,,,,,,,
0,0,0,0,0,,18,0,20,0,1,0,1,0,0,0,0,jump_roll,,playerroll,,400,1,2000, Gelen saldırılardan kaçmak veya hızlı hareket etmek için hızlıca yuvarlanın.,,2,0, Player Rolling: Oyuncu Yuvarlanması,,,1,0,,,,,19,skill-icon-20,,,,,,,,,,,
0,0,0,0,0,15,,300,21,0,1,0,1,0,0,0,0,normal_chudi,,ranged_RPG_attack2_audio,37,500,1,-1, Hedeflenen düşmana normal bir saldırı için tek bir çapa hareketi kullanın.,,2,0, Single Hoeing: Tek Çapalama,,,1,0,1,1,1000,7,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,419,,0,22,0,1,1,1,1,0,0,0,ranged_RPG_attack5,Skill_watering,ranged_RPG_attack5_audio,,0,1,-1, Normal miktarda su ile tek bir bitkiyi sulayın.,,2,0, Watering Individual Plant: Tek Bitki Sulama,,,1,0,1,3,1000,8,,,,,,,,,,,,,
0,0,0,0,0,,,280,23,0,1,0,1,0,0,0,0,A-bozhong-NEW,Skill_seeding,A-bozhong-NEW_audio,,400,1,-1, Tek bir tohumu hassas ve verimli bir şekilde ekin.,,2,0, Single-Seed Sowing: Tek Tohum Ekimi,,,1,0,,2,,,,,skill_tree_hurt,,,,,,,,,,
