desc-string,duration-int,effectType-int,id-int,isRepeat-bool,maxLayer-int,parameters-int[],showBuffIcon-bool,buffIcon-string,parameters2-int[][],effectInterval-int,effectFlag-int[],effectImmuneFlag-int[],entityEffect-string
Temel hasar (binde bir katsayı),0,1,1,0,1,"1000,1,2",0,,,,,,
 Ön kaydırma (cm),500,2,2,0,1,"100,0,1",0,,,,,,
 İtme için yer değiştirme (cm),500,3,3,0,1,100,0,,,,,,
 Dizginlenemez,1000,4,4,0,1,,0,,,,,,
 Baskın fizik yapı,1000,5,5,0,10,,0,buff-icon-5,,,,,
" Arama yer değiştirme (min, maksimum mesafe cm cinsinden)",100,6,6,0,1,"50,150,0,1,1",0,,,,,,
" Özellik değişikliği (Özellik Kimliği, Değişiklik türü, Değişiklik değeri)",,7,7,0,1,,0,,"11,1,100;13,1,10",,,,
 Temel baş dönmesi etkisi,,8,8,0,1,,1,buff-icon-8,,,,,
 Sürekli hasar (binde bir katsayı),500,9,9,0,5,"100,1",0,,,500,,,
 Çarpışma tetikleyici (etki topu listesi),500,10,10,0,1,"15,17",0,,,,,,
" Hızlı beceri serbest bırakma (beceri kimliği listesi, tetikleme türü, serbest bırakma olasılığı, beceri kimliği)",0,11,11,0,1,,0,,"14,15,16;1,500,65",,,,
" Menzil içinde etki topları ekle (hedef türü, hedef sınırı; etki topu listesi)",,12,12,0,1,,0,,"1,1;15,730",500,,,
" Kan öfkesi etkisi (özellik kimliği, değişim türü, 1% HP kaybı başına kazanç değeri)",,13,13,0,1,,0,,"11,1,100;13,1,10",,,,
" Hasar almadan belirli bir süre sonra artan özellik değeri (ms cinsinden süre) (özellik kimliği, değişim türü, 1% sağlık kaybı başına kazanç değeri)",-1,14,14,0,1,3000,0,,"11,1,100;13,1,10",,,,
 Temel hasar,0,1,15,0,1,"1000,1,2",0,,,,,,
 Başkarakterin önceden yapılan yer değiştirme mesafesi,200,2,16,0,1,"90,0,1",0,,,,,,
 Evrensel itme mesafesi etkisi,200,3,17,0,1,90,0,,,,,,
 Oyuncu yuvarlanma hareketi,250,2,18,0,1,"350,0,1",0,,,,,,
 Oyuncu yuvarlanma dizginlenemez,500,4,19,0,1,,0,,,,,,
 Başkarakterin saldırı 3 öncesi saldırı yer değiştirme mesafesi.,200,2,20,0,1,"110,0,1",0,,,,,,
 Üçüncü temel saldırı itme mesafesi etkisi,275,3,21,0,1,100,0,,,,,,
 1 saniye süper Zırh,1000,5,22,1,10,,0,buff-icon-22,,,,,
 Baş dönmesi testi,3000,8,23,0,1,,1,buff-icon-23,,,,,
 Konserve köpeğin güçlü yakın dövüş yeteneği var,730,5,24,0,10,,0,buff-icon-24,,,,,
" Kabak adam, yakın dövüş tankı",1300,5,25,0,10,,0,buff-icon-25,,,,,
 Ejder meyve askeri yakın dövüş hakimiyeti,1100,5,26,0,10,,0,buff-icon-26,,,,,
 Ağaç kişi yakın dövüş tankı,1000,5,27,0,10,,0,buff-icon-27,,,,,
 Kurt Kralı yakın dövüş tankı,2000,5,28,0,10,,0,buff-icon-28,,,,,
 Kurt kralı yakın dövüş itme,1000,3,29,0,1,100,0,,,,,,
 Kurt Kralı beceri: yer değiştirme,1000,2,30,0,1,"1200,0,1",0,,,,,,
Tespit yer değiştirme etkisi,150,6,31,0,1,"80,200,0,1,1",0,,,,,,
" Saldırı +100, HP sınırı +100, Eleştiri oranı +50%",-1,7,32,0,1,,0,,"13,1,100;11,1,100;19,1,500",,,,
" Saldırı +50%, Maksimum HP +50%",-1,7,33,0,1,,0,,"13,2,500;11,2,500",,1,2,
" Maksimum HP +100, Saldırı +10%",10000,7,34,0,10,,0,,"11,1,100;13,2,100",,,,
 3 saniye sersemleme,3000,8,35,0,1,,1,buff-icon-35,,,,,
 Kanlı güçlendirme,5000,9,36,0,5,"100,1",0,,,500,,,
 Çarpışma yaralanması,1500,1,37,0,1,"1500,1,2",0,,,100,,,
" Kan öfkesi güçlendirme, %1 HP kaybı = 1 hasar bonusu",-1,13,38,0,1,,0,,"21,1,10",,,,
" 3 saniye hasar almadan, +%10 hasar güçlendirme",-1,14,39,0,1,,0,,"21,1,100",,,,
 Çarpışma geri itme,300,3,40,0,1,500,0,,,,,,
 Çarpışma hasar ve geri itme,400,10,41,0,1,"37,40",0,,,,,,
 Sprint yer değiştirme,300,2,42,0,1,"400,0,1",0,,,,,,
" Sadece ellerle saldırı, kılıç saldırısını tetikler",-1,11,43,0,1,,0,,"14,15,16;1,500,65",,,,
 Aralık içinde rastgele tek hedef hasarı,5000,12,44,0,1,,0,,"1,1;15,730",500,,,
 Kapsamda grup zararı,5000,12,45,0,1,,0,,"1,20;15,730",500,,,
" Savaş çekirdeği 1, %1 saldırı gücü artışı",-1,7,46,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Savaş çekirdeği 2, %1 saldırı gücü artışı",-1,7,47,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Savaş çekirdeği 3, %1 saldırı gücü artışı",-1,7,48,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Savaş çekirdeği 4, +%1 saldırı",-1,7,49,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Savaş çekirdeği 5, +%1 saldırı",-1,7,50,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Savaş çekirdeği 6, %1 saldırı gücü artışı",-1,7,51,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Savaş çekirdeği 6, %1 saldırı gücü artışı",-1,7,52,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Savaş çekirdeği 6, %1 saldırı gücü artışı",-1,7,53,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Savaş çekirdeği 6, %1 saldırı gücü artışı",-1,7,54,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
 Savaşta +%5 kritik vuruş şansı,-1,7,55,0,1,,0,,"19,1,50",,,,
 Savaşta +%10 kritik vuruş şansı,-1,7,56,0,1,,0,,"19,1,100",,,,
 Savaşta +%15 kritik vuruş şansı,-1,7,57,0,1,,0,,"19,1,150",,,,
 Savaş hasarı %50 azalır,0,1,58,0,1,"1500,1,2",0,,,,,,
" Savaşta ezilme, 2 saniye sersemleme",2000,8,59,0,1,,1,buff-icon-59,,,,,
 Ek kazanç olasılığı +%1,-1,7,60,0,10,,0,,"40,1,10",,,,
 Ek kazanç olasılığı +%1,-1,7,61,0,10,,0,,"40,1,10",,,,
 Ek kazanç olasılığı +%1,-1,7,62,0,10,,0,,"40,1,10",,,,
 Ek kazanç olasılığı +%1,-1,7,63,0,10,,0,,"40,1,10",,,,
 Ek kazanç olasılığı +%1,-1,7,64,0,10,,0,,"40,1,10",,,,
 Ek kazanç olasılığı +%1,-1,7,65,0,10,,0,,"40,1,10",,,,
 Ek kazanç olasılığı +%1,-1,7,66,0,10,,0,,"40,1,10",,,,
 Ek kazanç olasılığı +%1,-1,7,67,0,10,,0,,"40,1,10",,,,
 Ek kazanç olasılığı +%1,-1,7,68,0,10,,0,,"40,1,10",,,,
 Ek hasat seviyesi artışı,-1,7,69,0,1,,0,,"42,1,1",,,,
 Ek hasat seviyesi artışı,-1,7,70,0,1,,0,,"42,1,1",,,,
 Ek hasat seviyesi artışı,-1,7,71,0,1,,0,,"42,1,1",,,,
 Çapalama hızını %10 artır,-1,7,72,0,1,,0,,"37,1,100",,,,
 Çapalama hızını %20 artır,-1,7,73,0,1,,0,,"37,1,100",,,,
 Çapalama hızını %30 artır,-1,7,74,0,1,,0,,"37,1,100",,,,
 Sulama nem tutma oranını %5 artır,-1,7,75,0,1,,0,,"39,1,50",,,,
 Sulama nem tutma oranını %10 artır,-1,7,76,0,1,,0,,"39,1,100",,,,
 Sulama nem tutma oranını %15 artır,-1,7,77,0,1,,0,,"39,1,150",,,,
 Çift kaynak toplama olasılığı +%1,-1,7,78,0,20,,0,,"27,1,10;34,1,10",,,,
 Çift kaynak toplama olasılığı +%1,-1,7,79,0,20,,0,,"27,1,10;34,1,10",,,,
 Çift kaynak toplama olasılığı +%1,-1,7,80,0,20,,0,,"27,1,10;34,1,10",,,,
 Çift kaynak toplama olasılığı +1% ,-1,7,81,0,20,,0,,"27,1,10;34,1,10",,,,
