col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,preNode-int[],type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,resetCost-int,upgradeToken-int[]
0," Savaş Saldırısı + 5
Savaş Savunması + 5
Savaş MaxHP + 20
Maksimum Enerji + 10
Enerji Reçetelerini Aç","51,588#1199#1259,10000","1,2,3",talentTree-1,1,1,1,1,Savaş Ustalığı 1,0,2,450,0,0,0
0," Savaş Saldırısı + 5
Savaş Savunması + 5
Savaş MaxHP + 20
Maksimum Enerji + 10
Enerji Reçetelerini Aç","52,585#1194#1260,10000","1,2,3",talentTree-2,2,1,2,1, Savaş Ustalığı 2,1,2,900,1,0,0
0,"Savaş ATK + 5
Savaş DEF + 5
Savaş MaxHP + 20
MaxEnerji + 10
Enerji Tarifelerini Aç","53,592#1192#1261,10000","1,2,3",talentTree-3,3,1,3,1, Savaş Ustalığı 3,2,2,1800,2,0,200
0," Savaş ATK + 5
Savaş DEF + 5
Savaş MaxHP + 20
MaxEnerji + 10
Enerji Tarifelerini Aç","54,590#1197#1262,10000","1,2,3",talentTree-4,4,1,4,1, Savaş Ustalığı 4,3,2,3600,3,0,1000
0," Savaş ATK + 5
Savaş DEF + 5
Savaş MaxHP + 20
MaxEnerji + 10
Enerji Tarifelerini Aç","55,589#1196#1263,10000","1,2,3",talentTree-5,5,1,5,1, Savaş Ustalığı 5,4,2,7200,4,0,2000
0," Savaş ATK + 5
Savaş DEF + 5
Savaş MaxHP + 20
MaxEnerji + 10
Enerji Tarifelerini Aç","56,595#1195#1264,10000","1,2,3",talentTree-6,6,1,6,1, Savaş Ustalığı 6,5,2,14400,5,0,3200
0," Savaş ATK + 5
Savaş DEF + 5
Savaş MaxHP + 20
MaxEnerji + 10
Enerji Tarifelerini Aç","57,614#1200#1265,10000","1,2,3",talentTree-7,7,1,7,1, Savaş Ustalığı 7,6,2,28800,6,0,4600
0," Savaş ATK + 5
Savaş DEF + 5
Savaş MaxHP + 20
MaxEnerji + 10
Enerji Tarifelerini Aç","58,615#1193#1266,10000","1,2,3",talentTree-8,8,1,8,1, Savaş Ustalığı 8,7,2,57600,7,0,6200
0, Düşmanın hareket hızını azalt,"59,619#1198#1267,10000","1,2,3",talentTree-9,9,1,9,1, Savaş Ustalığı 9,8,2,115200,8,0,8000
-1, Düşmanın hareket hızını azaltır.,332,1,talentTree-10,10,0,2,1, Ezme - Geliştirme,11,2,175,0,0,0
