dropList-int[][],id-int,extraDropList-int[][]
"32,1,1,10000;146,1,1,1200,41",7,
"31,1,1,10000;148,1,1,1200,41",8,
"30,1,1,10000;147,1,1,1200,41",9,
"33,1,1,10000;151,1,1,1200,41",10,
"35,1,1,10000;149,1,1,1200,41",11,
"34,1,1,10000;150,1,1,1200,41",12,
"36,1,1,10000;153,1,1,1200,41",13,
"37,1,1,10000;152,1,1,1200,41",14,
"38,1,1,10000;154,1,1,1200,41",15,
"70,1,1,10000,40;146,1,1,1500",16,
"71,1,1,10000,40;147,1,1,1500",17,
"72,1,1,10000,40;148,1,1,1500",18,
"73,1,1,10000,40;149,1,1,1500",19,
"74,1,1,10000,40;150,1,1,1500",20,
"75,1,1,10000,40;151,1,1,1500",21,
"76,1,1,10000,40;152,1,1,1500",22,
"77,1,1,10000,40;153,1,1,1500",23,
"78,1,1,10000,40;154,1,1,1500",24,
"58,1,1,10000,34;148,1,1,1200,41",26,
"62,1,1,10000,27;146,1,1,1200,41",27,
"63,1,1,10000,27;151,1,1,1200,41",28,
"64,1,1,10000,27;154,1,1,1200,41",29,
"59,1,1,10000,34;149,1,1,1200,41",30,
"60,1,1,10000,34;152,1,1,1200,41",31,
"66,1,1,10000,69;147,1,1,1200,41",32,
"67,1,1,10000,69;150,1,1,1200,41",33,
"68,1,1,10000,69;153,1,1,1200,41",34,
"178,1,1,10000",36,
"179,1,1,10000",37,
"177,1,1,10000",38,
"182,1,1,10000",39,
"180,1,1,10000",40,
"181,1,1,10000",41,
"183,1,1,10000",42,
"184,1,1,10000",43,
"185,1,1,10000",44,
"44,1,1,50;47,1,1,50;50,1,1,50;53,1,1,50;56,1,1,50;33,1,2,10000;34,1,2,10000;35,1,2,10000",45,
"45,1,1,50;48,1,1,50;51,1,1,50;54,1,1,50;57,1,1,50;36,1,2,10000;37,1,2,10000;38,1,2,10000",46,
"365,1,1,10000;413,1,1,1200,41",47,
"366,1,1,10000;414,1,1,1200,41",48,
"367,1,1,10000;415,1,1,1200,41",49,
"368,1,1,10000;416,1,1,1200,41",50,
"369,1,1,10000;417,1,1,1200,41",51,
"370,1,1,10000;418,1,1,1200,41",52,
"371,1,1,10000;419,1,1,1200,41",53,
"372,1,1,10000;420,1,1,1200,41",54,
"373,1,1,10000;421,1,1,1200,41",55,
"374,1,1,10000,69;413,1,1,1200,41",56,
"375,1,1,10000,27;414,1,1,1200,41",57,
"376,1,1,10000,34;415,1,1,1200,41",58,
"377,1,1,10000,69;416,1,1,1200,41",59,
"378,1,1,10000,27;417,1,1,1200,41",60,
"379,1,1,10000,34;418,1,1,1200,41",61,
"380,1,1,10000,69;419,1,1,1200,41",62,
"381,1,1,10000,27;420,1,1,1200,41",63,
"382,1,1,10000,34;421,1,1,1200,41",64,
"383,1,1,10000;413,1,1,1500",65,
"384,1,1,10000;414,1,1,1500",66,
"385,1,1,10000;415,1,1,1500",67,
"386,1,1,10000;416,1,1,1500",68,
"387,1,1,10000;417,1,1,1500",69,
"388,1,1,10000;418,1,1,1500",70,
"389,1,1,10000;419,1,1,1500",71,
"390,1,1,10000;420,1,1,1500",72,
"391,1,1,10000;421,1,1,1500",73,
"392,1,1,10000",74,
"393,1,1,10000",75,
"394,1,1,10000",76,
"395,1,1,10000",77,
"396,1,1,10000",78,
"397,1,1,10000",79,
"398,1,1,10000",80,
"399,1,1,10000",81,
"400,1,1,10000",82,
,83,
,84,
,85,
"462,1,1,10000",86,
"463,1,1,10000",87,
"480,1,1,10000",88,
"491,1,1,10000;614,1,1,1200,41",89,
"492,1,1,10000;615,1,1,1200,41",90,
"493,1,1,10000;616,1,1,1200,41",91,
"494,1,1,10000;614,1,1,1200,41",92,
"495,1,1,10000;615,1,1,1200,41",93,
"496,1,1,10000;616,1,1,1200,41",94,
"497,1,1,10000;616,1,1,1500",95,
"498,1,1,10000;614,1,1,1500",96,
"499,1,1,10000;615,1,1,1500",97,
"500,1,1,10000",98,
"501,1,1,10000",99,
"502,1,1,10000",100,
"503,1,1,10000;617,1,1,1200,41",101,
"504,1,1,10000;618,1,1,1200,41",102,
"505,1,1,10000;619,1,1,1200,41",103,
"506,1,1,10000;617,1,1,1200,41",104,
"507,1,1,10000;618,1,1,1200,41",105,
"508,1,1,10000;619,1,1,1200,41",106,
"509,1,1,10000;618,1,1,1500",107,
"510,1,1,10000;619,1,1,1500",108,
"511,1,1,10000;617,1,1,1500",109,
"512,1,1,10000",110,
"513,1,1,10000",111,
"514,1,1,10000",112,
"515,1,1,10000;620,1,1,1200,41",113,
"516,1,1,10000;621,1,1,1200,41",114,
"517,1,1,10000;622,1,1,1200,41",115,
"518,1,1,10000;620,1,1,1200,41",116,
"519,1,1,10000;621,1,1,1200,41",117,
"520,1,1,10000;622,1,1,1200,41",118,
"521,1,1,10000;620,1,1,1500",119,
"522,1,1,10000;622,1,1,1500",120,
"523,1,1,10000;621,1,1,1500",121,
"524,1,1,10000",122,
"525,1,1,10000",123,
"526,1,1,10000",124,
,125,
,126,
,127,
,128,
,129,
,130,
,131,
,132,
,133,
,134,
,135,
,136,
,137,
,138,
,139,
,140,
,141,
,142,
"725,1,1,1000",143,
"726,1,1,1000",144,
"30,1,1,10000;147,1,1,1200,41",145,
"32,1,1,10000;146,1,1,1200,41",146,
"31,1,1,10000;148,1,1,1200,41",147,
"34,1,1,10000;150,1,1,1200,41",148,
"35,1,1,10000;149,1,1,1200,41",149,
"33,1,1,10000;151,1,1,1200,41",150,
"36,1,1,10000;153,1,1,1200,41",151,
"37,1,1,10000;152,1,1,1200,41",152,
"38,1,1,10000;154,1,1,1200,41",153,
"367,1,1,10000;415,1,1,1200,41",154,
"366,1,1,10000;414,1,1,1200,41",155,
"365,1,1,10000;413,1,1,1200,41",156,
"370,1,1,10000;418,1,1,1200,41",157,
"369,1,1,10000;417,1,1,1200,41",158,
"368,1,1,10000;416,1,1,1200,41",159,
"371,1,1,10000;419,1,1,1200,41",160,
"373,1,1,10000;421,1,1,1200,41",161,
"372,1,1,10000;420,1,1,1200,41",162,
"492,1,1,10000;615,1,1,1200,41",163,
"491,1,1,10000;614,1,1,1200,41",164,
"493,1,1,10000;616,1,1,1200,41",165,
"504,1,1,10000;618,1,1,1200,41",166,
"505,1,1,10000;619,1,1,1200,41",167,
"503,1,1,10000;617,1,1,1200,41",168,
"515,1,1,10000;620,1,1,1200,41",169,
"516,1,1,10000;621,1,1,1200,41",170,
"517,1,1,10000;622,1,1,1200,41",171,
,172,
,173,
,174,
"492,1,1,10000;615,1,1,1200,41",176,
"491,1,1,10000;614,1,1,1200,41",177,
"493,1,1,10000;616,1,1,1200,41",178,
"504,1,1,10000;618,1,1,1200,41",179,
"505,1,1,10000;619,1,1,1200,41",180,
"503,1,1,10000;617,1,1,1200,41",181,
"515,1,1,10000;620,1,1,1200,41",182,
"516,1,1,10000;621,1,1,1200,41",183,
"517,1,1,10000;622,1,1,1200,41",184,
,185,"815,1,1,10000"
,186,"816,1,2,10000"
,187,"817,1,4,10000"
,188,"818,1,8,10000"
,189,"819,1,16,10000"
,190,"820,1,32,10000"
,191,"821,1,64,10000"
,192,"822,1,128,10000"
,193,"823,1,256,10000"
"833,1,1,10000",194,
"834,1,1,10000",195,
"835,1,1,10000",196,
"836,1,1,10000",197,
"837,1,1,10000",198,
"893,1,1,10000",199,
"894,1,1,10000",200,
"895,1,1,10000",201,
"896,1,1,10000",202,
"897,1,1,10000",203,
"898,1,1,10000",204,
"899,1,1,10000",205,
,206,"815,1,11,10000"
,207,"815,1,11,10000"
,208,"815,1,11,10000"
,209,"816,1,55,10000"
,210,"816,1,55,10000"
,211,"816,1,55,10000"
,212,"817,1,232,10000"
,213,"817,1,232,10000"
,214,"817,1,232,10000"
,215,"818,1,11,10000"
,216,"818,1,11,10000"
,217,"818,1,11,10000"
,218,"819,1,55,10000"
,219,"819,1,55,10000"
,220,"819,1,55,10000"
,221,"820,1,232,10000"
,222,"820,1,232,10000"
,223,"820,1,232,10000"
,224,"821,1,11,10000"
,225,"821,1,11,10000"
,226,"821,1,11,10000"
,227,"822,1,55,10000"
,228,"822,1,55,10000"
,229,"822,1,55,10000"
,230,"823,1,232,10000"
,231,"823,1,232,10000"
,232,"823,1,232,10000"
"30,1,1,10000",233,
"31,1,1,10000",236,
"32,1,1,10000",237,
"58,1,1,10000",238,
"62,1,1,10000",239,
"66,1,1,10000",240,
"70,1,1,10000",241,
"71,1,1,10000",242,
"72,1,1,10000",243,
"177,1,1,10000",244,
"178,1,1,10000",245,
"179,1,1,10000",246,
"33,1,1,10000",247,
"34,1,1,10000",248,
"35,1,1,10000",249,
"59,1,1,10000",250,
"63,1,1,10000",251,
"67,1,1,10000",252,
"73,1,1,10000",253,
"74,1,1,10000",254,
"75,1,1,10000",255,
"180,1,1,10000",256,
"181,1,1,10000",257,
"182,1,1,10000",258,
"36,1,1,10000",259,
"37,1,1,10000",260,
"38,1,1,10000",261,
"60,1,1,10000",262,
"64,1,1,10000",263,
"68,1,1,10000",264,
"76,1,1,10000",265,
