describe-string,id-int,module-string,value-string
资源不存在,5001,家园错误码,Tài nguyên không tồn tại
操作不支持,5002,家园错误码,Thao tác không được hỗ trợ
家园道具扣除异常,5003,家园错误码,Lỗi trừ điểm vật phẩm nhà
捕捉动物请求异常,6001,畜牧错误码,Yêu cầu bắt động vật bị lỗi
捕捉动物无效,6002,畜牧错误码,Yêu cầu bắt động vật không hợp lệ
,10001001,通用, Đồng ý
,10001002,通用, Hủy bỏ
,10001003,通用, Xác nhận
,10001004,通用, Đóng
,10001005,通用,Kết nối
,10001006,通用,"Dịch vụ đang bận, vui lòng chờ một chút"
,10001007,通用,"Ví đã ngắt kết nối, vui lòng khởi động lại ứng dụng."
,10001008,通用,Thông báo hệ thống
,10001009,通用,Phiên bản ứng dụng đã được cập nhật. Vui lòng khởi động lại ứng dụng.
,10001010,通用,Trò chơi bắt đầu
,10001011,通用,Đã nhận được{0}
,10001012,通用,Thiếu vật phẩm.
,10004021,装备属性-生命上限,Max HP
,10004022,装备属性-生命恢复,Hồi máu
,10004023,装备属性-攻击点数,Điểm tấn công
,10004024,装备属性-攻击速度,Tốc độ tấn công
,10004025,装备属性-防御点数,Điểm phòng thủ
,10004026,装备属性-暴击点数,Điểm chí mạng
,10004027,装备属性-暴击伤害,Sát thương chí mạng
,10004028,装备属性-命中点数,Điểm chính
,10004029,装备属性-闪避点数,Điểm né tránh
,10004030,装备属性-移动速度,Tốc độ di chuyển
,10022007,画板,Lumiterra
,10027010,机器人,LV.{0}
,10060001,UI tips EXP,"Cách để nhận EXP bao gồm tiêu diệt quái vật, hoàn thành nhiệm vụ, v.v.Bạn có thể nhận được nhiều EXP mỗi khi hoàn thành một vòng nhiệm vụ thù địch."
,10060002,UI tips token,Bạn có thể mua LNCO thông qua sàn giao dịch tiền điện tử hoặc sàn giao dịch tiền điện tử.Bạn cũng có thể nhận LNCO bằng cách bán các mặt hàng trong thị trường game.
,10060003,UI tips Proficiency,"Sức mạnh vũ khí, sức mạnh trang bị và bình thuốc đều tăng cường sự thành thạo của kỹ năng chế tạo tương ứng.Càng cao cấp độ chế tạo vật phẩm, càng tăng cường sự thành thạo."
,10070001,通用提示文案-外观穿戴1,Bạn phải mặc trang bị trước khi có thể mặc hình dạng.
,10070002,通用提示文案-外观穿戴2,Chỉ có thể mặc hình dạng cùng loại với trang bị hiện tại.
,10080013,大世界钱包地址复制提示,Wallet address has been copied
,10080014,大世界NFT物件拆除确认提示,Please confirm removement
,10080015,大世界NFT物件拆除不返还提示,Will not return Ditamin
,10080016,聊天窗文本复制提示,Text copied
,10080017,大世界放弃领地弹窗,"Are you sure to abandon this land ({0}, {1})?"
,10080018,大世界24小时预计奖励tips,Estimated 24h earnings: {0} Ditamin
,10080019,大世界超出占地限制tips,Reward limit: {0} Occupied Land
,10080020,聊天禁言提示,You have been banned and will not be able to chat until it is lifted
,10080021,创建地图达到上限提示,The maximum map creation limit is {0}.
,10080022,销毁道具提示,Do you want to destroy {0} * {1}? Can't be restored after being destroyed!
,10080023,销毁道具成功提示,Destroyed successfully!
,10081001,实体地图操作界面,The map is already running and this is the last portal of the running map. Changing the current portal settings will disrupt the gameplay experience for players on live maps. Please confirm.
,10081002,实体地图操作界面,"The map is running on a cloud server, and the current service rate is: 0Ditamin/hour."
,10081003,实体地图操作界面,The map is already running and this is the last portal of the running map. Changing the current portal settings will disrupt the gameplay experience for players on live maps. Please confirm.
,10081004,实体地图操作界面,The map is already running. Updating the map data will disrupt the gameplay experience for players on live maps. Please confirm.
,10081005,实体地图操作界面,The map is already running. Closing the map will disrupt the gameplay experience for players on live maps. Please confirm.
,10082001,功能提示,The text convert to sound function is temporarily unavailable
,10089001,打地鼠,Moles Whacking
,10089002,记数字和符号,Character Memory
,10089003,打气球,Balloon busting
,10089004,裁剪艺术,Missing Piece
,10089005,旋转剪影,Rotating silhouette
,10089006,数方块,Blocks Calculation
,10089007,调整时钟,Clock Adjustment
,10089008,鸟笼洗牌,Birdcage Shuffle
,10089009,敲积木求和,Blocks Crack
,10089010,卡片记忆,Card Memory
,10089011,逆转记忆,Reverse Memory
,10089012,PVP邀请链接复制提示,Invitation link copied
,10089013,PVP PK房间准备超时提示,PK room timeout
,10089014,PVP主动认输,Give up the game?
,10089015,装备插槽升级提示,Equipment slot level up!
,10089016,装备插槽等级不足提示,Slot level not enough
,10090001,打地鼠小游戏提示1,Click on the same picture!
,10090002,快闪记忆提示1,Remember numbers and signs!
,10090003,快闪记忆提示2,{0}digits
,10090004,顺序气球提示,Destroy balloons by numbers from small to large!
,10090005,积木计算提示,What is the number of blocks?
,10090006,旋转剪影提示,Which one is the same as the silhouette?
,10090007,剪裁艺术提示,Which picture fits best?
,10090008,调整时钟quiz提示,Adjust the clock!
,10090009,拾取非归属于自己的道具提醒,"Can't be picked up, it doesn't belong to you"
,10090010,回复%血量,Recover {0}% hp
,10090011,重复使用配方提醒,You have already learned this recipe.
,10090012,鸟笼洗牌提示,Where are the chickens?
,10090013,,Hit the unnecessary bricks!
,10090014,逆向记忆提示,Repeat in reverse!
,10090015,获得BUFF提示,Get BUFF: {0}
,10090016,卡牌记忆提示,Remember the cards!
,10090017,点击技能熟练度问号弹窗,Improve your proficiency with Craft
,10090018,奖励预览,Reward Preview
,10090019,恭喜获得,Congratulations on getting:
,10090020,放弃任务确认提示,Are you sure you want to abandon this task?
,10090021,放弃每日任务提示,Không thể từ bỏ liên tục trong {0} phút.
,20010001,断网标题,Đã ngắt kết nối
,20010002,断网提示,Mạng đã ngắt kết nối
,20010003,被T提示,Tài khoản của bạn đã đăng nhập ở nơi khác
,20010004,被T提示,Phát hiện gian lận bởi hệ thống
,20010005,被T提示,Máy chủ đã tắt
,20010006,被T提示,Lỗi hệ thống
,20010007,被T提示,Tự động ngoại tuyến do không hoạt động
,20010008,被T提示,Xếp hạng của các gia tộc quá thấp
道具不足,20020001,家园相关,Thiếu vật phẩm
,20020002,家园相关,Không có gì trong hộp lưu trữ!
,20030001,保存技能配置,Lưu thành công
超过上限提示,20040001,畜牧,{0} nhân vật[/color]Vui lòng chọn bỏ nhân vật này hoặc thay thế bằng nhân vật khácdo không đủ không gian
超过上限提示标题,20040002,畜牧,PET ĐÃ ĐẦY
放弃按钮,20040003,畜牧,BỎ
替换按钮,20040004,畜牧,THAY THẾ
,20040005,畜牧,Lỗi khi nhận dữ liệu nhà
,20040006,畜牧,Hết thời gian nhận dữ liệu nhà
,20040007,畜牧,Dữ liệu nhà không đầy đủ
,20040008,畜牧,Một trong các bát thức ăn đã trống
,20040009,畜牧,Một trong các bát thức ăn đã được đổ thức ăn
,20040010,畜牧,Mối quan hệ của bạn với thú cưng tăng lên
,20040011,畜牧,Tạm thời không được vuốt ve
,20040012,畜牧,Độ màu màu đất không đủ
,20040013,畜牧,Hạnh phúc của động vật không đủ
,20040014,畜牧,Độ màu màu đất hiện tại không đủ
,20050001,捕获取消操作,Hủy bắt động vật
,20050002,捕获距离太远,Quá xa
,20050003,捕获绳子断开,Dây đã bị đứt
,20050004,捕获超时,Hết thời gian bắt
,20050005,捕获过程道具不足,Thiếu đạo cụ
释放技能正在CD中,20060001,技能,Kỹ năng đang trong thời gian chờ
,20070001,登录,Hệ thống
,20070002,登录,Đang đăng nhập
,20070003,登录,Đăng nhập thất bại
,20070004,登录,"Đăng nhập thất bại, vui lòng thử lại."
,20070005,登录,Thử lại
,20070006,登录,Đang tải cảnh
,20070007,登录,Tên không thể chứa ký tự không hợp lệ
,20070008,登录,Tên không được để trống
,20070009,登录,Tên không được vượt quá {0} ký tự
,20070010,登录,Đang tải tài nguyên {0}
,20070011,登录,Đang kết nối ví
,20070012,登录,Đang kết nối trò chơi
,20070013,登录,Kết nối trò chơi thất bại
,20070014,登录,"Kết nối trò chơi thất bại, vui lòng thử lại."
,20070015,登录,Trong hàng đợi: {0}
,20070016,登录,Vui lòng nhập mã hợp lệ
,20070017,登录,Đăng nhập vào cảnh mục tiêu thất bại.
,20070018,登录,Mã kích hoạt (tùy chọn)
,20070019,登录,LINE #{0}
,20070020,登录,Vui lòng chọn máy chủ trước
,20070021,登录,Tên không hợp lệ.
,20080001,设置,"Để áp dụng cài đặt ngôn ngữ, vui lòng khởi động lại ứng dụng."
,20080002,设置,Thoát ngay bây giờ
,20080003,设置,Sau đó
,20080004,设置,"Cảnh báo! Đăng xuất ở một khu vực không an toàn, người chơi sẽ có thể rời game bình thường sau một thời gian không hoạt động."
,20080005,设置,"Đăng xuất ở một khu vực không an toàn, kết nối lại để vào game."
,20090001,任务,Nhận {0} phần thưởng hòm nhiệm vụ  
,20090002,任务,Hoàn thành nhiệm vụ {0}  
,20090003,任务,Chế tạo bất kỳ vật phẩm nào trên trang chế tạo  
,20090004,任务,Chế tạo {0} trên trang chế tạo  
