classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
1,Chế tạo kiếm đá cấp 1,2,recipe-icon-44,44,1,"210,1;213,1",Cấp 1 Công thức Kiếm Đá ,"40,1,1,10000",1,0,10900044,1,10,-,2,0,4,0,0
2,Chế tạo kiếm sắt cấp 2,2,recipe-icon-45,45,2,"207,2;211,1;214,1", Cấp 2 Công thức Kiếm Sắt ,"41,1,1,10000",1,0,10800045,1,10,-,2,0,4,0,0
3,Chế tạo kiếm pha lê cấp 3,2,recipe-icon-46,46,3,"208,2;212,1;215,1", Cấp 3 Công thức Kiếm Pha Lê ,"42,1,1,6000;42,2,1,4000",1,0,50700046,1,10,-,2,0,4,0,0
1,Làm cuốc sắt cấp 1,2,recipe-icon-62,62,1,"207,2", Cấp 1 Công thức Cuốc Sắt ,"80,1,1,10000",1,0,10900062,1,10,-,1,0,4,0,0
2,Làm cuốc bị nguyền rủa cấp 2,2,recipe-icon-63,63,2,"216,2;208,2", Cấp 2 Công thức Cuốc Bị Nguyền Rủa ,"81,1,1,10000",1,0,10800063,1,10,-,1,0,4,0,0
3,Làm cuốc phước cấp 3,2,recipe-icon-64,64,3,"217,2;209,2", Cấp 3 Công thức Cuốc May Mắn ,"82,1,1,6000;82,2,1,4000",1,0,50700064,1,10,-,1,0,4,0,0
1,Làm ấm đun nước sắt cấp 1,2,recipe-icon-66,66,1,"207,2", Cấp 1 Công thức Ấm Đun Nước Sắt ,"84,1,1,10000",1,0,10900066,1,10,-,1,0,4,0,0
2,Làm ấm đun nước bị nguyền rủa cấp 2,2,recipe-icon-67,67,2,"216,2;208,2", Cấp 2 Công thức Ấm Đun Nước Bị Nguyền Rủa ,"85,1,1,10000",1,0,10800067,1,10,-,1,0,4,0,0
3,Làm ấm siêu tốc cấp 3,2,recipe-icon-68,68,3,"217,2;209,2", Cấp 3 Công thức Ấm Đun Nước May Mắn ,"86,1,1,6000;86,2,1,4000",1,0,50700068,1,10,-,1,0,4,0,0
1,Làm cuốc sắt cấp 1,2,recipe-icon-70,70,1,"216,2", Cấp 1 Công thức Cuốc Gỗ ,"88,1,1,10000",1,0,10900070,1,10,-,3,0,4,0,0
2,Làm cái cuốc bị nguyền rủa cấp 2,2,recipe-icon-71,71,2,"210,1;213,1;217,2", Cấp 2 Công thức Cuốc Bị Nguyền Rủa ,"89,1,1,10000",1,0,10800071,1,10,-,3,0,4,0,0
3,Tạo kịch bản ban phước cấp 3,2,recipe-icon-72,72,3,"211,1;214,1;218,2", Cấp 3 Công thức Cuốc May Mắn ,"90,1,1,6000;90,2,1,4000",1,0,50700072,1,10,-,3,0,4,0,0
1,Làm rìu sắt cấp 1,2,recipe-icon-74,74,1,"216,2", Cấp 1 Công thức Rìu Gỗ ,"92,1,1,10000",1,0,10900074,1,10,-,3,0,4,0,0
2,Làm Rìu nguyền rủa cấp 2,2,recipe-icon-75,75,2,"210,1;213,1;217,2", Cấp 2 Công thức Rìu Bị Nguyền Rủa ,"93,1,1,10000",1,0,10800075,1,10,-,3,0,4,0,0
3,Làm Rìu thần thánh cấp 3,2,recipe-icon-76,76,3,"211,1;214,1;218,2", Cấp 3 Công thức Rìu May Mắn ,"94,1,1,6000;94,2,1,4000",1,0,50700076,1,10,-,3,0,4,0,0
