bossEntityList-int[],entityList-int[][],entityMaximum-int,entityType-int,id-int,name-string,sceneAreaId-int,trapEntityList-int[][],desc-string,punishDesc-string
"1000,95,2,1000,2000","1000,111,2,1000,2000",6,1,1,Test-Monster ,0,,,
"1000,112,2,1000,2000",,6,2,2, Test-Resource ,0,,,
"1000,832,2,1000,2000","1000,146,2,1000,2000",6,3,3, Test-Seed ,0,,,
"1000,95,2,1000,2000","1000,111,2,1000,2000",6,1,4, Quái vật thử nghiệm ,0,,,
"1000,112,2,1000,2000",,6,2,5, Tài nguyên thử nghiệm ,0,,,
"1000,832,2,1000,2000","1000,146,2,1000,2000",6,3,6, Hạt giống thử nghiệm ,0,,,
,"1000,6,2,1000,1100;1000,7,2,1000,1100;1000,8,2,1000,1100",6,1,7, Cấp độ Thách thức Chiến đấu ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1100,1200;1000,7,2,1100,1200;1000,8,2,1100,1200",6,1,8, Cấp độ Thách thức Chiến đấu ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1200,1300;1000,7,2,1200,1300;1000,8,2,1200,1300",6,1,9, Cấp độ Thách thức Chiến đấu ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
,"1000,6,2,1300,1400;1000,7,2,1300,1400;1000,8,2,1300,1400",6,1,10, Cấp độ Thách thức Chiến đấu ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
"1000,54,1,1000,1000",,6,1,11, Cấp độ Thách thức Boss Chiến đấu ,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118",,
