actions-int[],conditionType-int,conditions-int[],desc-string,id-int,name-string,type-int
1,1,2,怪物防御值增强了,1,Pháo đài,1
2,1,2,怪物攻击力增强了,2, Tức giận,1
3,1,2,玩家防御值削弱了,3, Lời nguyền,1
4,1,2,玩家攻击力削弱了,4, Sự yếu đuối,1
5,1,2,怪物最大血量增加了,5, Hiến máu,1
6,1,2,怪物防御值削弱了,6, Phá giáp,1
7,1,2,怪物攻击力削弱了,7, Làm tròn,1
8,1,2,玩家防御值增强了,8, Bảo vệ,1
9,1,2,玩家攻击力增强了,9, Truyền cảm hứng,1
10,1,2,怪物最大血量减少了,10, Hỗ trợ,1
6,2,"17,18,19,20,21",怪物防御值削弱了,11, Phá giáp,2
7,2,"17,18,19,20,21",怪物攻击力削弱了,12, Làm tròn,2
8,2,"17,18,19,20,21",玩家防御值增强了,13, Bảo vệ,2
9,2,"17,18,19,20,21",玩家攻击力增强了,14, Truyền cảm hứng,2
10,2,"17,18,19,20,21",怪物最大血量减少了,15, Hỗ trợ,2
11,1,1,减益,16, Sự kiện ngẫu nhiên trong chiến đấu,1
12,1,3,增益,17, Sự kiện ngẫu nhiên trong chiến đấu,1
13,1,1,减益,18, Sự kiện ngẫu nhiên trong thu thập,1
14,1,3,增益,19, Sự kiện ngẫu nhiên trong thu thập,1
15,1,5,减益,20, Sự kiện ngẫu nhiên trong nông nghiệp,1
16,1,7,增益,21, Sự kiện ngẫu nhiên trong nông nghiệp,1
"37,38",1,8,变化,22, Sự kiện thu thập cơ bản,1
39,2,"5,6",种田副本削减成长时间,23, Tăng trưởng nhanh chóng,1
