IsBeHitBreakable-bool,IsIndependentLogic-bool,accuBreakable-bool,accuTime-int,attackCanMove-bool,effectEnemy-int[],effectForward-int[],forwardReleaseTime-int,id-int,isAutoUse-bool,isCheckHit-bool,isHoldSkill-bool,isReleaseEffFollow-bool,isReleastActLoop-bool,isRemote-bool,playProgress-bool,rangeTips-bool,releaseAct-string,releaseEff-string,releaseSound-string[],releaseSpd-int,releaseTime-int,searchTarget-int[][],skillCD-int,skillDesc-string,skillDistance-int,skillFlag-int[],skillFlyerId-int,skillName-string,skillRange-int[],skillShake-string[],targetFlag-int[],targetLock-bool,targetType-int[],homeAction-int[],homeAttRate-int,effectSelf-int[],skillIcon-string,hitEff-string,animRotate-int,skillAlertEffect-string,skillFlyerNum-int,accuEff-int,effectInit-int[],composeSkill-int[],costPropType-int[],maxAccuTime-int,itemCost-int[][],accuTab-string
0,0,0,0,0,"1,239",214,150,14,0,1,0,1,0,0,0,1,skill_attack1,Skill_punch_attack1,Punch,14,550,1,-1,Tấn công không vũ khí - Di chuyển 1. ,350,2,0,Tấn công không vũ trang,"4,300,150,16000,0",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"15,239",214,150,15,0,1,0,1,0,0,0,1,skill_attack2,Skill_punch_attack2,Punch,14,550,1,-1,Tấn công không vũ khí - Di chuyển 2. ,350,2,0,Tấn công không vũ trang,"4,300,150,16000,0",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386",214,150,16,0,1,0,1,0,0,0,1,skill_attack3,Skill_punch_attack3,Punch2,14,550,1,-1,Tấn công không vũ khí - Di chuyển 3. ,350,2,0,Tấn công không vũ trang,"4,300,150,16000,0",CameraShakeGrade_2,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,"239,385,567",31,150,17,0,1,0,1,0,0,0,1,skill_sword_attack1,skill_sword_attack1,knife01,14,620,1,-1,Tấn công kiếm - Di chuyển 1. ,400,2,0,tấn công bằng kiếm,"4,300,300,27000,0",CameraShakeGrade_1,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,"15,239,567",31,150,18,0,1,0,1,0,0,0,1,skill_sword_attack2,skill_sword_attack2,knife02,14,620,1,-1,Tấn công kiếm - Di chuyển 2. ,400,2,0,tấn công bằng kiếm,"4,300,300,27000,0",CameraShakeGrade_1,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,"21,227,386,567",31,150,19,0,1,0,1,0,0,0,1,skill_sword_attack3,skill_sword_attack3,knife03,14,670,1,-1,Tấn công kiếm - Di chuyển 3. ,400,2,0,tấn công bằng kiếm,"4,300,300,27000,0",CameraShakeGrade_2,1,0,1,5,333,,,,,,,,,,,,,
0,0,0,0,0,,18,0,20,0,1,0,1,0,0,0,0,jump_roll,,playerroll,,400,1,2000,Lăn nhanh để né tránh các cuộc tấn công hoặc di chuyển nhanh chóng. ,,2,0,Đất nông nghiệp nhóm cấp 3,,,1,0,,,,19,skill-icon-20,,,,,,,,,,,
0,0,0,0,0,15,,300,21,0,1,0,1,0,0,0,0,normal_chudi,,ranged_RPG_attack2_audio,37,500,1,-1,Sử dụng một hành động cuốc đơn để tấn công bình thường vào kẻ thù đã chọn. ,,2,0,Tưới nước riêng lẻ,,,1,0,1,1,1000,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,419,,0,22,0,1,1,1,1,0,0,0,ranged_RPG_attack5,Skill_watering,ranged_RPG_attack5_audio,,0,1,-1,Tưới nước cho một cây trồng cá nhân với một lượng nước bình thường. ,,2,0,Tưới nước nhóm Lv 1,,,1,0,1,3,1000,,,,,,,,,,,,,
0,0,0,0,0,,,280,23,0,1,0,1,0,0,0,0,A-bozhong-NEW,Skill_seeding,A-bozhong-NEW_audio,,400,1,-1,Gieo một hạt giống duy nhất một cách chính xác và hiệu quả. ,,2,0,Tưới nước nhóm Lv 2,,,1,0,,2,,,,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,,,280,24,0,1,0,1,0,0,0,0,ranged_RPG_reload,Skill_fertilize,playerroll,,400,1,-1,Áp dụng một liều phân bón duy nhất để tăng cường sự phát triển của cây trồng. ,,2,0,gieo hạt đơn,,,1,0,,4,,,,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,"15,17,416",,350,25,0,1,0,1,0,0,0,0,normal_gaozi,Skill_mine,ranged_RPG_attack4_audio,30,500,1,-1,Sử dụng một cuốc đào duy nhất trong một cuộc tấn công bình thường đối với một kẻ thù. ,,2,0,Rìu đơn,"4,300,150,27000,0",CameraShakeGrade_1,1,0,1,"7,8",1000,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,"15,17,417",,350,26,0,1,0,1,0,0,0,0,normal_futou,Skill_chop,ranged_RPG_attack3_audio,23,500,1,-1,Chặt với một cú đánh rìu duy nhất như một cuộc tấn công bình thường. ,,2,0,nguồn cấp dữ liệu duy nhất,"4,300,150,27000,0",CameraShakeGrade_1,1,0,1,6,1000,,,skill_tree_hurt,,,,,,,,,,
1,0,1,0,0,"227,1","188,226",730,31,1,1,0,1,0,0,0,1,attack,,Dog_Attack,,1430,1,0,Tham gia vào một cuộc chiến đấu chó sói dữ dội để bảo vệ lãnh thổ của bạn. ,300,2,0,Ông bí ngô cận chiến,"4,300,200,12000,0",,1,0,1,,,,,,,,,,,,,,,
1,0,1,0,0,15,"216,189",700,32,1,1,0,1,0,0,0,1,attack,,SKill_Pumpkin_attkar_rush,,1333,1,0,Chiến đấu với Pumpkin Fiend bằng chiến thuật gần gũi. ,400,2,0,Cuộc hỗn chiến của binh lính thanh long,"4,300,200,12000,0",,1,0,1,,,,,,,,,,,,,,,
1,0,1,0,0,15,"190,215",1100,33,1,1,0,1,0,0,0,1,attack,,Catus_Attack,,1660,1,0,Đối mặt với Cactus Warrior trong một cuộc đối đầu giao tranh dữ dội. ,450,2,0,cận chiến treant,"4,300,300,9000,0",,1,0,1,,,,,,,,,,,,,,,
1,0,1,0,0,15,,1000,34,1,1,0,1,0,0,0,1,attack,,Dryad_Attack,,1860,1,1000,Chiến đấu chống lại Mighty Dryad với những cuộc tấn công gần gũi mạnh mẽ. ,,2,0,Cuộc hỗn chiến của vua sói,"2,300,0",,1,0,1,,,,,,,,,,,,,,,
1,0,0,0,0,"15,29",28,1000,35,1,1,0,1,0,0,0,1,attack,,Dryad_Attack,,1860,1,5000,Không sợ hãi khi đối mặt với Wolf King nguy hiểm từ gần. ,,2,0,Vua sói tấn công,"4,800,600,36000,0",CameraShakeGrade_2,1,0,1,,,,,,,,,,,,,,,
1,0,0,0,0,"15,29",28,300,36,1,1,0,1,0,0,0,1,attack,,Dryad_Attack,,1860,1,10000,Thực hiện một cuộc tấn công sạc mạnh mẽ như Wolf King. ,,2,0,Vua sói đập đất,"1,500,100,1,0",CameraShakeGrade_3,1,0,1,,,,,,,,,,,,,,,
