col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,preNode-int[],type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,resetCost-int,upgradeToken-int[]
0,"Chiến đấu ATK + 5
Chiến đấu DEF + 5
Chiến đấu MaxHP + 20
Năng lượng tối đa + 10
Mở khóa công thức Năng lượng","51,588#1199#1259,10000","1,2,3",talentTree-1,1,1,1,1,Tinh thông chiến đấu 1,0,2,450,0,0,0
0,"Sức tấn công chiến đấu + 5
Phòng thủ chiến đấu + 5
HP tối đa chiến đấu + 20
Năng lượng tối đa + 10
Mở khóa công thức năng lượng","52,585#1194#1260,10000","1,2,3",talentTree-2,2,1,2,1,Tinh thông chiến đấu 2,1,2,900,1,0,0
0,"Chiến đấu ATK + 5
Chiến đấu DEF + 5
Chiến đấu MaxHP + 20
Năng lượng tối đa + 10
Mở khóa công thức năng lượng","53,592#1192#1261,10000","1,2,3",talentTree-3,3,1,3,1,Tinh thông chiến đấu 3,2,2,1800,2,0,200
0," Combat ATK +5: Tăng ATK Chiến đấu +5
Combat DEF +5: Tăng DEF Chiến đấu +5
Combat MaxHP +20: Tăng MaxHP Chiến đấu +20
MaxEnergy +10: Tăng MaxEnergy +10
Unlock Energy Recipes: Mở khóa công thức Năng lượng","54,590#1197#1262,10000","1,2,3",talentTree-4,4,1,4,1,Tinh thông chiến đấu 4,3,2,3600,3,0,1000
0,"Tăng sức tấn công chiến đấu +5
Tăng phòng thủ chiến đấu +5
Tăng HP tối đa chiến đấu +20
Tăng năng lượng tối đa +10
Mở khóa công thức năng lượng","55,589#1196#1263,10000","1,2,3",talentTree-5,5,1,5,1, Chiến đấu - Thạo nghiệp 5,4,2,7200,4,0,2000
0,"Combat ATK + 5
Combat DEF + 5
Combat MaxHP + 20
MaxEnergy + 10
Unlock Energy Recipes: Tăng tấn công, phòng thủ, HP tối đa chiến đấu + 5, tăng năng lượng tối đa + 10, mở khóa công thức năng lượng","56,595#1195#1264,10000","1,2,3",talentTree-6,6,1,6,1,Tinh thông chiến đấu 6,5,2,14400,5,0,3200
0,"Tấn công chiến đấu +5
Phòng thủ chiến đấu +5
HP tối đa chiến đấu +20
Năng lượng tối đa +10
Mở khóa công thức năng lượng","57,614#1200#1265,10000","1,2,3",talentTree-7,7,1,7,1,Tinh thông chiến đấu 7,6,2,28800,6,0,4600
0,"Sức tấn công chiến đấu + 5
Phòng thủ chiến đấu + 5
HP tối đa chiến đấu + 20
Năng lượng tối đa + 10
Mở khóa công thức năng lượng","58,615#1193#1266,10000","1,2,3",talentTree-8,8,1,8,1,Tinh thông chiến đấu 8,7,2,57600,7,0,6200
0,"Tấn công chiến đấu + 5
Phòng thủ chiến đấu + 5
HP tối đa chiến đấu + 20
Năng lượng tối đa + 10
Mở khóa công thức năng lượng","59,619#1198#1267,10000","1,2,3",talentTree-9,9,1,9,1,Tinh thông chiến đấu 9,8,2,115200,8,0,8000
-1,"Giảm tốc độ di chuyển của kẻ địch
",332,1,talentTree-10,10,0,2,1,Chà đạp - Tăng cường,11,2,175,0,0,0
-1,"Choáng kẻ địch xung quanh bạn.
",63,0,talentTree-11,11,0,1,1,giẫm đạp,0,2,15,0,0,0
0,"Khả năng Sinh sản + 1
Trình độ Trồng trọt + 4
Khả năng Hạnh phúc của Thú cưng + 1
Trình độ Chăn nuôi + 4
Năng lượng tối đa + 10
Thể lực Nông nghiệp: Chuyển đổi trình độ nông nghiệp thành phòng thủ chiến đấu và giới hạn sức khỏe theo tỷ lệ nhất định, hiệu quả khi đang sử dụng công cụ nông nghiệp
Mở khóa công thức Năng lượng","66#531,591#597#1183#1277,10000","1,2,3",talentTree-13,13,1,1,1,Làm chủ nông nghiệp 1,0,1,450,0,0,0
0,"Khả năng sinh sản + 1
Trình độ trồng trọt + 4
Khả năng hạnh phúc của thú cưng + 1
Trình độ chăn nuôi + 4
Năng lượng tối đa + 10
Mở khóa công thức năng lượng","67,593#598#1184#1278,10000","1,2,3",talentTree-14,14,1,2,1,Làm chủ nông nghiệp 2,13,1,900,1,0,0
0,"Khả năng sinh sản + 1
Trình độ trồng trọt + 4
Khả năng hạnh phúc của thú cưng + 1
Trình độ chăn nuôi + 4
Năng lượng tối đa + 10
Mở khóa công thức năng lượng","68,596#599#1188#1279,10000","1,2,3",talentTree-15,15,1,3,1,Làm chủ nông nghiệp 3,"13,14",1,1800,2,0,200
0," FertilityCapacity +1: Tăng FertilityCapacity +1
PlantingProficiency +4: Tăng PlantingProficiency +4
PetHappinessCapacity +1: Tăng PetHappinessCapacity +1
BreedingProficiency +4: Tăng BreedingProficiency +4
MaxEnergy +10: Tăng MaxEnergy +10
Unlock Energy Recipes: Mở khóa công thức Năng lượng","69,594#600#1190#1280,10000","1,2,3",talentTree-16,16,1,4,1,Làm chủ nông nghiệp 4,15,1,3600,3,0,1000
0,"Tăng khả năng sinh sản đơn vị +1
Tăng trình độ trồng trọt +4
Tăng khả năng hạnh phúc thú cưng +1
Tăng trình độ chăn nuôi +4
Tăng năng lượng tối đa +10
Mở khóa công thức năng lượng","70,601#587#1185#1281,10000","1,2,3",talentTree-17,17,1,5,1, Nông nghiệp - Thạo nghiệp 5,16,1,7200,4,0,2000
0,"FertilityCapacity + 1: Tăng dung lượng sinh sản + 1
PlantingProficiency + 4: Tăng trình độ trồng trọt + 4
PetHappinessCapacity + 1: Tăng dung lượng hạnh phúc thú cưng + 1
BreedingProficiency + 4: Tăng trình độ chăn nuôi + 4
MaxEnergy + 10: Tăng năng lượng tối đa + 10
Unlock Energy Recipes: Mở khóa công thức năng lượng","71,602#586#1189#1282,10000","1,2,3",talentTree-18,18,1,6,1,Làm chủ nông nghiệp 6,17,1,14400,5,0,3200
0,"Dung lượng sinh sản +1
Trình độ trồng trọt +4
Dung lượng hạnh phúc thú cưng +1
Trình độ chăn nuôi +4
Năng lượng tối đa +10
Mở khóa công thức năng lượng","72,620#617#1187#1283,10000","1,2,3",talentTree-19,19,1,7,1,Làm chủ trang trại 7,18,1,28800,6,0,4600
0,"Đơn vị sản lượng lô đất sinh sản + 1
Trình độ trồng trọt + 4
Khả năng hạnh phúc của thú cưng + 1
Trình độ chăn nuôi + 4
Năng lượng tối đa + 10
Mở khóa công thức năng lượng","73,624#621#1186#1284,10000","1,2,3",talentTree-20,20,1,8,1,Làm chủ nông nghiệp 8,19,1,57600,7,0,6200
0,"Đơn vị sản lượng lô đất sinh sản + 1
Trình độ trồng trọt + 4
Khả năng hạnh phúc của thú cưng + 1
Trình độ chăn nuôi + 4
Năng lượng tối đa + 10
Mở khóa công thức năng lượng","74,625#616#1191#1285,10000","1,2,3",talentTree-21,21,1,9,1,Làm chủ nông nghiệp 9,20,1,115200,8,0,8000
1,"FertilityCapacity + 1
",228,1,talentTree-22,22,0,1,1,Trang trại - Sản lượng sinh sản trên một đơn vị đất đai,0,1,95,0,0,0
-1,"Tưới nước cho các cánh đồng nhỏ xung quanh bạn
",99,0,talentTree-23,23,0,2,1,Làm chủ bình tưới nước,77,1,210,0,0,0
0,"Cắt cỏ Att + 5
Chặt cây Att + 5
Khai thác quặng Att + 5
Trình độ cắt cỏ + 5
Trình độ chặt cây + 5
Trình độ khai thác quặng + 5
Năng lượng tối đa + 10
Thể lực Thu thập: Chuyển đổi trình độ thu thập thành phòng thủ chiến đấu và sức khỏe theo tỷ lệ nhất định, hiệu quả khi đang sử dụng công cụ thu thập
Mở khóa công thức Năng lượng","81#530,267#605#1268,10000","1,2,3",talentTree-24,24,1,1,1,Thu thập thành thạo 1,0,3,450,0,0,0
0,"Sức tấn công cỏ + 5
Sức tấn công cây + 5
Sức tấn công quặng + 5
Trình độ nhặt cỏ + 5
Trình độ chặt cây + 5
Trình độ khai thác quặng + 5
Năng lượng tối đa + 10
Mở khóa công thức năng lượng","82,268#606#1269,10000","1,2,3",talentTree-25,25,1,2,1,Tập hợp chiến đấu 2,24,3,900,1,0,0
0,"Sức tấn công cỏ + 5
Sức tấn công cây + 5
Sức tấn công quặng + 5
Trình độ nhặt cỏ + 5
Trình độ chặt cây + 5
Trình độ khai thác quặng + 5
Năng lượng tối đa + 10
Mở khóa công thức năng lượng","83,269#607#1270,10000","1,2,3",talentTree-26,26,1,3,1,Tập hợp chiến đấu 3,25,3,1800,2,0,200
0," GrassAtt +5: Tăng GrassAtt +5
TreeAtt +5: Tăng TreeAtt +5
OreAtt +5: Tăng OreAtt +5
GrassProficiency +5: Tăng GrassProficiency +5
TreeProficiency +5: Tăng TreeProficiency +5
OreProficiency +5: Tăng OreProficiency +5
MaxEnergy +10: Tăng MaxEnergy +10
Unlock Energy Recipes: Mở khóa công thức Năng lượng","84,382#608#1271,10000","1,2,3",talentTree-27,27,1,4,1,Tập hợp chiến đấu 4,26,3,3600,3,0,1000
