dismantlingMats-int[][],gearAttribute-int[][],gearAvatar-int,gearDurabilityMax-int,gearQuality-int,gearType-int,gender-string,givenSkillId-int[],id-int,itemId-int,weaponSubtype-int
-,"13,1,20,25;19,1,20,45;51,1,20,25",1,999,1,8,unisex,"17,18,19",1,39,1
"738,1,80","15,1,9,27;11,1,35,105",50,999,1,1,male,,3,43,0
"738,1,80","15,1,11,33;11,1,27,81",56,999,1,2,male,,5,46,0
"738,1,80","11,1,36,110;15,1,8,26",62,999,1,3,male,,7,49,0
"738,1,80","7,1,5,10;15,1,9,27;11,1,36,110",65,999,1,4,unisex,,9,55,0
"738,1,80","13,1,4,14;15,1,7,21;11,1,27,81",59,999,1,5,unisex,,11,52,0
"738,1,80","13,1,40,122;19,1,24,54;51,1,20,25;16,1,0,0",2,999,1,8,unisex,"17,18,19",13,40,1
"747,1,80","49,1,8,25;50,1,8,25;44,1,184,551;47,1,46,138",54,999,1,1,unisex,,26,98,0
"748,1,80","49,1,25,33;50,1,25,33;44,1,551,734;47,1,138,184",83,999,1,1,unisex,,27,99,0
"749,1,80","49,1,42,47;50,1,42,47;44,1,918,1040;47,1,230,260",84,999,1,1,unisex,,28,100,0
"747,1,80","49,1,6,19;50,1,6,19;44,1,220,659;47,1,55,165",57,999,1,2,unisex,,29,101,0
"748,1,80","49,1,19,25;50,1,19,25;44,1,659,878;47,1,165,220",85,999,1,2,unisex,,30,102,0
"749,1,80","49,1,32,36;50,1,32,36;44,1,1098,1244;47,1,275,311",94,999,1,2,unisex,,31,103,0
"747,1,80","37,1,50,80;49,1,9,27;50,1,9,27;44,1,175,524;47,1,44,131",63,999,1,3,unisex,,32,104,0
"748,1,80","37,1,80,110;49,1,27,35;50,1,27,35;44,1,524,698;47,1,131,174",87,999,1,3,unisex,,33,105,0
"749,1,80","37,1,140,160;49,1,44,50;50,1,44,50;44,1,873,989;47,1,218,247",96,999,1,3,unisex,,34,106,0
