id-int,note-string,value-int,strValue-string
1,角色等级上限,99,
2,角色插槽等级上限,104,
3,角色制造技能等级上限,90,
4,角色等级与插槽等级正负差距,5,
5,升级时不小于角色等级5级的插槽数量限制,4,
6,玩家初始地图id,10001,
7,玩家出生点坐标,0,"806,110,604"
8,畜牧动物最大数量,15,
9,捕获怪物喜欢的item倍率加成,2,
10,捕获怪物基础伤害值,3,
13,锄地需要进度动作值,100,
14,动物抚摸需要进度动作值,100,
15,动物收获需要进度值,100,
16,家园动作进度统一流逝速度 几秒流逝完 代码中还有个动作后2秒才开始流逝机制,3,
17,土壤从松土到空白的时间 秒,7200,
18,动物完全饥饿后死亡时间 秒,216000,
19,动物收获动作进度的伤害值,40,
20,动物安抚动作进度的每秒伤害值,60,
21,动物好感度一颗心的好感度数量,10,
22,安抚动作增加的好感度值,1,
23,好感度爱心显示的最大数量,10,
24,捕获绳长度米（超过距离会断开）,20,
25,捕获陷阱倒计时（秒）,5,
26,作物生长时间系数K,1,
27,动物收获时间系数K,1,
28,组队人数上限,4,
29,组队邀请有效期（单位s）,30,
30,每日精力回复阀值(int类型)= 真实值*1000 {游戏里面看到150，那么需要填 150000},10000,
31,掉落扣除系数(int类型)= 真实值*1000 {规则同上},500,
32,每分钟恢复系数(int类型)= 真实值*1000  {规则同上},500,
33,组队获得掉落半径(单位m),15,
34,组队获得经验分配,0,"100,75,60,55"
35,队友收获农作物获取掉落概率(千分位),100,
36,传送进副本时队员离NPC或队长最大半径(单位m),15,
37,每日奖励领取同章节次数,5,
38,进入副本确认倒计时(s),30,
39,每日任务cd，单位：秒,3600,
40,每日精力药恢复量上限(int类型)= 真实值*1000 ,600000,
41,副本最大匹配时长，单位：秒,180,
42,家园保卫战持续时长，单位：秒,180,
43,PVP伤害系数，单位：千分比,150,
44,玩家阵营切换时间，单位：秒,5,
45,孵蛋不可取消保护时长，单：秒,10,
46,宠物释放技能扣除饥饿度,5,
47,宠物生产期间饥饿度消耗倍率(千分位),2000,
