assetRes-string,dropId-int,exp-int,gatherPotentiality-int[],homeAction-int[],icon-string,id-int,initialAttribute-int[][],lv-int,name-string,progressScore-int,rankScore-int,tokenTaskLevel-int[],totemScore-int,worldDropGroup-int
2D_caijiziyuan_shumu01_1,27,15,"1000,1000",6,2D_caijiziyuan_shumu01_1,4,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1,Lv 1 普通木材#4,2,14,"0, 1",1,1
Slice_12,27,15,"1000,1000",6,Slice_12,5,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1,Lv 1 普通木材#5,2,14,999,1,1
2D_caijiziyuan_xianrenzhang,28,21.21320344,"1000,1000",6,2D_caijiziyuan_xianrenzhang,6,"60,0,1;61,100,1;62,0,1;63,113,1;76,750,1",2,Lv 2 沙漠树木材#6,4,20,2,2,2
2D_caijiziyuan_hongguoshi,34,30,"1000,1000",5,2D_caijiziyuan_hongguoshi,7,"60,100,1;61,0,1;62,0,1;63,110,1;76,750,1",3,Lv 3 龙舌兰#7,8,28,3,3,3
2D_caijiziyuan_shikuai_3,26,15,"1000,1000",7,2D_caijiziyuan_shikuai_3,8,"60,0,1;61,0,1;62,100,1;63,120,1;76,750,1",1,Lv 1 石头#8,2,14,"0, 1",1,1
2D_caijiziyuan_heitikuang,30,21.21320344,"1000,1000",7,2D_caijiziyuan_heitikuang,9,"60,0,1;61,0,1;62,100,1;63,113,1;76,750,1",2,Lv 2 黑铁矿#9,4,20,2,2,2
2D_caijiziyuan_hongbaoshi,31,30,"1000,1000",7,2D_caijiziyuan_hongbaoshi,11,"60,0,1;61,0,1;62,100,1;63,110,1;76,750,1",3,Lv 3 红色水晶矿#11,8,28,3,3,3
Slice_11,32,15,"1000,1000",5,Slice_11,14,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Lv 1 植物纤维#14,2,14,"0, 1",1,1
2D_caijiziyuan_bingyuanzhiwu,33,21.21320344,"1000,1000",5,2D_caijiziyuan_bingyuanzhiwu,15,"60,100,1;61,0,1;62,0,1;63,113,1;76,750,1",2,Lv 2 冰原菇#15,4,20,2,2,2
2D_caijiziyuan_anheimucai,29,30,"1000,1000",6,2D_caijiziyuan_anheimucai,16,"60,0,1;61,100,1;62,0,1;63,110,1;76,750,1",3,Lv 3 暗黑木材#16,8,28,3,3,3
homeresource-19,0,0,"1000,1000",5,homeresource-19,19,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Lv 1 植物纤维#19,2,14,999,1,0
homeresource-20,32,15,"1000,1000",5,homeresource-20,20,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Lv 1 植物纤维#20,2,14,"0, 1",1,1
2D_caijiziyuan_cao3,0,0,"1000,1000",5,2D_caijiziyuan_cao3,21,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Lv 1 植物纤维#21,2,14,999,1,0
homeresource-22,0,0,"1000,1000",5,homeresource-22,22,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#22,2,14,999,1,0
homeresource-24,0,0,"1000,1000",5,homeresource-24,24,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#24,2,14,999,1,0
homeresource-25,0,0,"1000,1000",5,homeresource-25,25,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#25,2,14,999,1,0
homeresource-26,0,0,"1000,1000",5,homeresource-26,26,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#26,2,14,999,1,0
homeresource-27,0,0,"1000,1000",5,homeresource-27,27,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#27,2,14,999,1,0
homeresource-28,0,0,"1000,1000",5,homeresource-28,28,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,#28,2,14,999,1,0
homeresource-29,0,0,"1000,1000",6,homeresource-29,29,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1,Lv 1 普通木材#29,2,14,999,1,0
homeresource-30,0,0,"1000,1000",5,homeresource-30,30,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Lv 1 植物纤维#30,2,14,999,1,0
homeresource-31,0,0,"1000,1000",5,homeresource-31,31,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Lv 1 植物纤维#31,2,14,999,1,0
homeresource-32,0,0,"1000,1000",5,homeresource-32,32,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Lv 1 植物纤维#32,2,14,999,1,0
homeresource-33,0,15,"1000,1000",5,homeresource-33,33,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Lv 1 植物纤维#33,2,14,999,1,0
2D_caijiziyuan_shikuai_4,26,15,"1000,1000",7,2D_caijiziyuan_shikuai_4,34,"60,0,1;61,0,1;62,100,1;63,120,1;76,750,1",1,Lv 1 石头#34,2,14,999,1,1
homeresource-35,27,15,"1000,1000",6,homeresource-35,35,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1,Lv 1 普通木材#35,2,14,999,1,1
homeresource-36,28,21.21320344,"1000,1000",6,homeresource-36,36,"60,0,1;61,100,1;62,0,1;63,113,1;76,750,1",2,Lv 2 沙漠树木材#36,4,20,2,2,2
homeresource-37,29,30,"1000,1000",6,homeresource-37,37,"60,0,1;61,100,1;62,0,1;63,110,1;76,750,1",3,Lv 3 暗黑木材#37,8,28,3,3,3
homeresource-38,31,30,"1000,1000",7,homeresource-38,38,"60,0,1;61,0,1;62,100,1;63,110,1;76,750,1",3,Lv 3 红色水晶矿#38,8,28,3,3,3
homeresource-41,30,21.21320344,"1000,1000",7,homeresource-41,41,"60,0,1;61,0,1;62,100,1;63,113,1;76,750,1",2,Lv 2 黑铁矿#41,4,20,2,2,2
homeresource-42,26,15,"1000,1000",7,homeresource-42,42,"60,0,1;61,0,1;62,100,1;63,120,1;76,750,1",1,Lv 1 石头#42,2,14,"0, 1",1,1
homeresource-43,33,21.21320344,"1000,1000",5,homeresource-43,43,"60,100,1;61,0,1;62,0,1;63,113,1;76,750,1",2,Lv 2 冰原菇#43,4,20,2,2,2
homeresource-44,34,30,"1000,1000",5,homeresource-44,44,"60,100,1;61,0,1;62,0,1;63,110,1;76,750,1",3,Lv 3 龙舌兰#44,8,28,3,3,3
homeresource-45,0,0,"1000,1000",5,homeresource-45,45,"60,100,1;61,0,1;62,0,1;63,120,1;76,750,1",1,Lv 1 植物纤维#45,2,14,999,1,0
homeresource-47,9,0,"1000,1000",16,homeresource-47,47,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Lv 1 绿色粘液#47,2,14,999,0,0
homeresource-48,8,0,"1000,1000",16,homeresource-48,48,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Lv 1 南瓜藤蔓#48,2,14,999,0,0
homeresource-49,7,0,"1000,1000",16,homeresource-49,49,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Lv 1 铁丝网#49,2,14,999,0,0
homeresource-50,26,0,"1000,1000",16,homeresource-50,50,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Lv 1 石头#50,2,14,999,0,0
homeresource-51,32,0,"1000,1000",16,homeresource-51,51,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Lv 1 植物纤维#51,2,14,999,0,0
homeresource-52,27,0,"1000,1000",16,homeresource-52,52,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Lv 1 普通木材#52,2,14,999,0,0
homeresource-53,30,0,"1000,1000",16,homeresource-53,53,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",2,Lv 2 黑铁矿#53,4,20,999,0,0
homeresource-54,28,0,"1000,1000",16,homeresource-54,54,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",2,Lv 2 沙漠树木材#54,4,20,999,0,0
homeresource-55,33,0,"1000,1000",16,homeresource-55,55,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",2,Lv 2 冰原菇#55,4,20,999,0,0
homeresource-56,10,0,"1000,1000",16,homeresource-56,56,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",2,Lv 2 矿矿猫尖牙#56,4,20,999,0,0
homeresource-57,12,0,"1000,1000",16,homeresource-57,57,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",2,Lv 2 轻质薄膜#57,4,20,999,0,0
homeresource-58,11,0,"1000,1000",16,homeresource-58,58,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",2,Lv 2 草妖头冠#58,4,20,999,0,0
homeresource-59,13,0,"1000,1000",16,homeresource-59,59,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",3,Lv 3 细长钩爪#59,8,28,999,0,0
homeresource-60,14,0,"1000,1000",16,homeresource-60,60,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",3,Lv 3 赤红皮毛#60,8,28,999,0,0
homeresource-61,15,0,"1000,1000",16,homeresource-61,61,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",3,Lv 3 冰雪茸毛#61,8,28,999,0,0
homeresource-62,31,0,"1000,1000",16,homeresource-62,62,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",3,Lv 3 红色水晶矿#62,8,28,999,0,0
homeresource-63,34,0,"1000,1000",16,homeresource-63,63,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",3,Lv 3 龙舌兰#63,8,28,999,0,0
homeresource-64,29,0,"1000,1000",16,homeresource-64,64,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",3,Lv 3 暗黑木材#64,8,28,999,0,0
homeresource-65,56,42.42640687,"1000,1000",5,homeresource-65,65,"60,100,1;61,0,1;62,0,1;63,109,1;76,750,1",4,Lv 4 金色蒲公英#65,16,40,4,4,4
homeresource-66,57,42.42640687,"1000,1000",6,homeresource-66,66,"60,0,1;61,100,1;62,0,1;63,109,1;76,750,1",4,Lv 4 仙人掌花#66,16,40,4,4,4
homeresource-67,58,42.42640687,"1000,1000",7,homeresource-67,67,"60,0,1;61,0,1;62,100,1;63,109,1;76,750,1",4,Lv 4 卡斯奥小金人#67,16,40,4,4,4
homeresource-68,59,60,"1000,1000",5,homeresource-68,68,"60,100,1;61,0,1;62,0,1;63,108,1;76,750,1",5,Lv 5 钻石纤维#68,32,56,5,5,5
homeresource-69,60,60,"1000,1000",6,homeresource-69,69,"60,0,1;61,100,1;62,0,1;63,108,1;76,750,1",5,Lv 5 钻石音符#69,32,56,5,5,5
homeresource-70,61,60,"1000,1000",7,homeresource-70,70,"60,0,1;61,0,1;62,100,1;63,108,1;76,750,1",5,Lv 5 熊状钻石矿#70,32,56,5,5,5
homeresource-71,62,84.85281374,"1000,1000",5,homeresource-71,71,"60,100,1;61,0,1;62,0,1;63,108,1;76,750,1",6,Lv 6 仙人花#71,64,80,6,6,6
homeresource-72,63,84.85281374,"1000,1000",6,homeresource-72,72,"60,0,1;61,100,1;62,0,1;63,108,1;76,750,1",6,Lv 6 罐装星星#72,64,80,6,6,6
homeresource-73,64,84.85281374,"1000,1000",7,homeresource-73,73,"60,0,1;61,0,1;62,100,1;63,108,1;76,750,1",6,Lv 6 陨落晶石#73,64,80,6,6,6
homeresource-74,56,42.42640687,"1000,1000",5,homeresource-74,74,"60,100,1;61,0,1;62,0,1;63,109,1;76,750,1",4,Lv 4 金色蒲公英#74,16,40,4,4,4
homeresource-75,57,42.42640687,"1000,1000",6,homeresource-75,75,"60,0,1;61,100,1;62,0,1;63,109,1;76,750,1",4,Lv 4 仙人掌花#75,16,40,4,4,4
homeresource-76,58,42.42640687,"1000,1000",7,homeresource-76,76,"60,0,1;61,0,1;62,100,1;63,109,1;76,750,1",4,Lv 4 卡斯奥小金人#76,16,40,4,4,4
homeresource-77,59,60,"1000,1000",5,homeresource-77,77,"60,100,1;61,0,1;62,0,1;63,108,1;76,750,1",5,Lv 5 钻石纤维#77,32,56,5,5,5
homeresource-78,60,60,"1000,1000",6,homeresource-78,78,"60,0,1;61,100,1;62,0,1;63,108,1;76,750,1",5,Lv 5 钻石音符#78,32,56,5,5,5
homeresource-79,61,60,"1000,1000",7,homeresource-79,79,"60,0,1;61,0,1;62,100,1;63,108,1;76,750,1",5,Lv 5 熊状钻石矿#79,32,56,5,5,5
homeresource-80,62,84.85281374,"1000,1000",5,homeresource-80,80,"60,100,1;61,0,1;62,0,1;63,108,1;76,750,1",6,Lv 6 仙人花#80,64,80,6,6,6
homeresource-81,63,84.85281374,"1000,1000",6,homeresource-81,81,"60,0,1;61,100,1;62,0,1;63,108,1;76,750,1",6,Lv 6 罐装星星#81,64,80,6,6,6
homeresource-82,64,84.85281374,"1000,1000",7,homeresource-82,82,"60,0,1;61,0,1;62,100,1;63,108,1;76,750,1",6,Lv 6 陨落晶石#82,64,80,6,6,6
homeresource-83,0,0,"1000,1000",6,homeresource-83,83,"60,0,1;61,100,1;62,0,1;63,120,1;76,750,1",1,#83,2,14,999,1,0
homeresource-84,88,0,",",16,homeresource-84,84,"60,0,1;61,0,1;62,0,1;63,10,1;76,0,1",1,Lv 1 LUAG期货碎片#84,2,0,999,0,0
homeresource-85,92,120,"1000,1000",5,homeresource-85,85,"60,100,1;61,0,1;62,0,1;63,107,1;76,750,1",7,Lv 7 岩浆之芯#85,128,113,7,7,7
homeresource-86,92,120,"1000,1000",5,homeresource-86,86,"60,100,1;61,0,1;62,0,1;63,107,1;76,750,1",7,Lv 7 岩浆之芯#86,128,113,7,7,7
homeresource-87,93,120,"1000,1000",6,homeresource-87,87,"60,0,1;61,100,1;62,0,1;63,107,1;76,750,1",7,Lv 7 焰木#87,128,113,7,7,7
