boothFees-int[][],canDropScene-int[],canMint-int,desc-string,destructible-bool,givenSkillId-int,icon-string,id-int,name-string,onChainDelay-int,quality-int[],resourceInstructions-int[],sellable-bool,subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"792,1","1,3,4",1,"通过合成可以获得这个物品.
使用它可以触发特殊效果
-------
小饲料是一种消耗品，适用于等级0的宠物，可增加宠物的饱食度和成长值。它由天然植物和营养成分制成，口感清香，易于消化吸收。每包小饲料重量轻便，方便携带，是宠物主人必备的好物品。",0,27,item-icon-28,28,Lv 1 饲料,0,1,434,1,0,1,"1,0",0,3,0,1
"792,1","1,3,4",1,"通过合成可以获得这个物品.
使用它可以触发特殊效果
-------
大饲料是一种消耗品，能够提供动物所需的营养成分，使其保持健康成长。它适用于各种家畜和宠物，能够增加它们的生产力和生命值。",0,27,item-icon-29,29,Lv 2 饲料,0,1,435,1,0,1,"1,0",0,3,0,1
"792,1","1,3,4",1,"曾经有人在海边见到过这种原材料.
可以用于合成装备或道具
-------
这种绿色粘液是一种稀有的原材料，可以用于制作各种战斗装备。它具有极强的黏性，可以粘合多种材料。",0,0,item-icon-30,30,绿色粘液,0,1,6,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1,"曾经有人在海边见到过这种原材料.
可以用于合成装备或道具
-------
南瓜藤蔓是一种可用于制作武器和盔甲的原材料，它具有坚韧的质地和优秀的韧性，在战斗中可以提供可靠的保护和攻击力。",0,0,item-icon-31,31,南瓜藤蔓,0,1,5,1,0,2,"1,0",1,4,1,1
"792,1","1,3,4",1,"曾经有人在海边见到过这种原材料.
可以用于合成装备或道具
-------
这种铁丝网是一种用于战斗的原材料，可以用来制造防御性建筑或设备，具有较高的强度和耐久性。",0,0,item-icon-32,32,铁丝网,0,1,4,1,0,2,"1,0",1,4,1,1
"793,1","1,3,4",1,"曾经有人在沙漠见到过这种原材料.
可以用于合成装备或道具
-------
矿上猫尖牙是一种锋利的原材料，可以用于制作武器和防具。它来自于生活在矿山中的猫科动物，具有极强的战斗力和敏捷性。",0,0,item-icon-33,33,矿矿猫尖牙,0,1,7,1,0,2,2,1,4,2,1
"793,1","1,3,4",1,"曾经有人在草原见到过这种原材料.
可以用于合成装备或道具
-------
这种轻质薄膜是一种用于战斗的原材料，可以用来制造各种防御性装备和武器。",0,0,item-icon-34,34,轻质薄膜,0,1,8,1,0,2,2,1,4,2,1
"793,1","1,3,4",1,"曾经有人在峡谷见到过这种原材料.
可以用于合成装备或道具
-------
草妖头冠是一种二级战斗原材料，它由草妖的头部制成，具有强大的战斗能力。",0,0,item-icon-35,35,草妖头冠,0,1,9,1,0,2,2,1,4,2,1
"794,1","1,3,4",1,"曾经有人在黑色森林见到过这种原材料.
可以用于合成装备或道具
-------
这个钩爪是由坚硬的金属制成的，非常锋利，适合在战斗中使用。它的形状细长，可以轻松地穿透敌人的防御。",0,0,item-icon-36,36,细长钩爪,0,1,10,1,0,2,3,1,4,3,1
"794,1","1,3,4",1,"曾经有人在红色森林见到过这种原材料.
可以用于合成装备或道具
-------
赤红皮毛是一种高级皮毛，具有优异的防御性能，适合制作战斗装备。它是一种稀有的原材料，采集难度较高。",0,0,item-icon-37,37,赤红皮毛,0,1,11,1,0,2,3,1,4,3,1
