describe-string,id-int,module-string,value-string
资源不存在,5001,家园错误码,资源不存在
操作不支持,5002,家园错误码,不支持的操作
家园道具扣除异常,5003,家园错误码,家园物品扣除异常
捕捉动物请求异常,6001,畜牧错误码,捕捉动物请求异常
捕捉动物无效,6002,畜牧错误码,捕捉动物无效
,2010000,,空的
,10001001,通用,确定
,10001002,通用,取消
,10001003,通用,确认
,10001004,通用,关闭
,10001005,通用,连接中
,10001006,通用,服务繁忙，请耐心等待。
,10001007,通用,钱包已断开连接，请重新启动应用程序。
,10001008,通用,系统提示
,10001009,通用,应用程序版本已更新，请重新启动应用程序。
,10001010,通用,游戏开始
,10001011,通用,获得{0}
,10001012,通用,物品不足。
,10001013,通用,你的资产将无法在PVP区域出售。
,10001014,通用,许愿池
,10001015,通用,祈愿树-战斗
,10001016,通用,祈愿树-采集
,10001017,通用,祈愿树-农牧
,10004021,装备属性-生命上限,最大生命值
,10004022,装备属性-生命恢复,生命值恢复
,10004023,装备属性-攻击点数,攻击点数
,10004024,装备属性-攻击速度,攻击速度
,10004025,装备属性-防御点数,防御点数
,10004026,装备属性-暴击点数,暴击点数
,10004027,装备属性-暴击伤害,暴击伤害
,10004028,装备属性-命中点数,命中点数
,10004029,装备属性-闪避点数,闪避点数
,10004030,装备属性-移动速度,移动速度
,10022007,画板,Lumiterra
,10027010,机器人,LV.{0}
,10060001,UI tips EXP,获得经验的方式包括击杀怪物、完成任务等。
,10060002,UI tips token,每次完成一轮赏金任务都可以获得大量经验。你可以通过曲线或加密货币交易所购买LNCO。你也可以通过在市场上出售游戏物品获得LNCO。
,10060003,UI tips Proficiency,制作武器能力、装备能力和药剂都会增加相应制作技能的熟练度。
,10070001,通用提示文案-外观穿戴1,必须先穿装备，才能穿外观。
,10070002,通用提示文案-外观穿戴2,只能穿戴与当前装备同类型的外观。
,10080013,大世界钱包地址复制提示,钱包地址已复制
,10080014,大世界NFT物件拆除确认提示,请确认移除
,10080015,大世界NFT物件拆除不返还提示,不会返回Ditamin
,10080016,聊天窗文本复制提示,文本已复制
,10080017,大世界放弃领地弹窗,确定要放弃这块领地（{0}，{1}）吗？
,10080018,大世界24小时预计奖励tips,预计24小时收益：{0}Ditamin
,10080019,大世界超出占地限制tips,奖励限制：{0}占领领地
,10080020,聊天禁言提示,你已被禁言，直到解禁为止无法聊天
,10080021,创建地图达到上限提示,最大地图创建限制为{0}。
,10080022,销毁道具提示,你想要摧毁{0} * {1}吗？摧毁后无法恢复！
,10080023,销毁道具成功提示,摧毁成功！
,10081001,实体地图操作界面,地图已在运行，这是正在运行的地图的最后一个传送门。更改当前传送门设置将干扰玩家在实时地图上的游戏体验。请确认。
,10081002,实体地图操作界面,地图正在云服务器上运行，当前服务费率为：0Ditamin/小时。
,10081003,实体地图操作界面,地图已在运行，这是正在运行的地图的最后一个传送门。更改当前传送门设置将干扰玩家在实时地图上的游戏体验。请确认。
,10081004,实体地图操作界面,地图已在运行。更新地图数据将干扰玩家在实时地图上的游戏体验。请确认。
,10081005,实体地图操作界面,地图已在运行。关闭地图将干扰玩家在实时地图上的游戏体验。请确认。
,10082001,功能提示,文本转换为声音的功能暂时不可用
,10089001,打地鼠,打地鼠
,10089002,记数字和符号,角色记忆
,10089003,打气球,打气球
,10089004,裁剪艺术,缺失的碎片
,10089005,旋转剪影,旋转轮廓
,10089006,数方块,方块计算
,10089007,调整时钟,时钟调整
,10089008,鸟笼洗牌,鸟笼洗牌
,10089009,敲积木求和,方块破解
,10089010,卡片记忆,卡片记忆
,10089011,逆转记忆,逆向记忆
,10089012,PVP邀请链接复制提示,邀请链接已复制
,10089013,PVP PK房间准备超时提示,PK房间超时
,10089014,PVP主动认输,放弃游戏？
,10089015,装备插槽升级提示,装备槽位升级！
,10089016,装备插槽等级不足提示,槽位等级不足
,10090001,打地鼠小游戏提示1,点击相同的图片！
,10090002,快闪记忆提示1,记住数字和符号！
,10090003,快闪记忆提示2,{0}位数
,10090004,顺序气球提示,按照从小到大的顺序销毁气球！
,10090005,积木计算提示,方块的数量是多少？
,10090006,旋转剪影提示,哪个与轮廓相同？
,10090007,剪裁艺术提示,哪张图片最合适？
,10090008,调整时钟quiz提示,调整时钟！
,10090009,拾取非归属于自己的道具提醒,无法拾取，它不属于你
,10090010,回复%血量,恢复{0}%的生命值
,10090011,重复使用配方提醒,你已经学会了这个配方。
,10090012,鸟笼洗牌提示,鸡在哪里？
,10090013,,打掉不必要的砖块！
,10090014,逆向记忆提示,倒序重复！
,10090015,获得BUFF提示,获得BUFF：{0}
,10090016,卡牌记忆提示,记住卡片！
,10090017,点击技能熟练度问号弹窗,提高你的制作熟练度
,10090018,奖励预览,奖励预览
,10090019,恭喜获得,恭喜获得：
,10090020,放弃任务确认提示,确定要放弃这个任务吗？
,10090021,放弃每日任务提示,在{0}分钟内不能放弃。
,20010001,断网标题,断开连接
,20010002,断网提示,网络已断开
,20010003,被T提示,您的帐户在其他地方登录
,20010004,被T提示,系统检测到作弊
,20010005,被T提示,服务器离线
,20010006,被T提示,系统错误
,20010007,被T提示,由于长时间不活动而自动离线
,20010008,,没有权限
道具不足,20020001,家园相关,物品不足
,20020002,家园相关,存储箱里没有任何物品！
,20020003,家园相关,网络波动，异常数据已恢复
,20020004,,您今天的声望农场时间已用完。
,20020005,, 农场服务将在{0}秒后关闭。
,20020006,,维护中，请稍候。
,20030001,保存技能配置,保存成功
超过上限提示,20040001,畜牧,"{0}个精灵[/color]

请选择放弃这个精灵或者用其他精灵替换它，因为空间不足"
超过上限提示标题,20040002,畜牧,宠物已满
放弃按钮,20040003,畜牧,放弃
替换按钮,20040004,畜牧,替换
,20040005,畜牧,获取家园数据错误
,20040006,畜牧,获取家园数据超时
,20040007,畜牧,获取家园数据不完整
,20040008,畜牧,其中一个饭碗已经空了
,20040009,畜牧,其中一个饭碗已经装满食物
,20040010,畜牧,你与宠物的纽带增加了
,20040011,畜牧,暂时不能抚摸
,20040012,畜牧,土壤肥力不足
,20040013,畜牧,动物幸福度不足
,20040014,畜牧,当前土壤肥力不足
,20040015,畜牧,熟练度不够[/color]
,20050001,捕获取消操作,取消捕捉
,20050002,捕获距离太远,距离太远
,20050003,捕获绳子断开,绳子断了
,20050004,捕获超时,捕捉超时
,20050005,捕获过程道具不足,道具不足
,20050006,,
释放技能正在CD中,20060001,技能,技能冷却中
,20070001,登录,系统
,20070002,登录,登录中
,20070003,登录,登录失败
,20070004,登录,登录失败，请重试。
,20070005,登录,重试
,20070006,登录,加载场景
,20070007,登录,名称不能包含非法字符
,20070008,登录,名称不能为空
,20070009,登录,名称不能超过{0}个字符
,20070010,登录,加载资源{0}
,20070011,登录,连接钱包
,20070012,登录,连接游戏
,20070013,登录,连接游戏失败
,20070014,登录,连接游戏失败，请重试。
,20070015,登录,排队中：{0}
,20070016,登录,请输入有效的代码
,20070017,登录,无法登录到目标场景。
,20070018,登录,激活码（可选）
,20070019,登录,LINE #{0}
,20070020,登录,请先选择服务器
,20070021,登录,无效的名称。
,20070022,,加载服务
,20070023,,名称包含敏感词。
,20070024,,[color=red]名称必须至少为{0}个字符。
,20070025,,[color=red]名称过长。
,20070026,,[color=red]名称重复。
,20080001,设置,要应用语言设置，请重新启动应用程序。
,20080002,设置,立即退出
,20080003,设置,之后
,20080004,设置,警告！在不安全的区域登出，玩家在空闲一段时间后将能够正常离开游戏。
,20080005,设置,在不安全的区域登出，重新连接以进入游戏。
,20090001,任务,领取{0}任务宝箱奖励
