ability-int[][],autoHarvest-bool,breedingDifficulty-int,eggItemId-int,harvestAction-int,harvestDropId-int,harvestTime-int,hungerSpeed-int,id-int,incubationDuration-int,incubationMat-int[][],initialAttribute-int[][],maxHunger-int,potWashingItem-int[],requiredHappiness-int,requiredProficiency-int,toEggProbability-int,upgradeEXP-int[],extendSkill-int[]
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,600,665,11,36,100,1,6,10,"693,2","13,40,1;15,40,1;11,1000,1;12,15,1;19,5,0;20,50,0;16,100,0;17,100,0;14,1,0;51,40,1;53,5,0;58,50,0;59,1,0;22,40,1;24,5,0;25,50,0;26,1,1;29,40,1;31,5,0;32,50,0;33,1,1;54,40,1;55,40,1;56,40,1;43,89,0;49,20,1;38,20,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"693,1",83,100,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,200,0;4,100,450",0,600,666,12,37,100,1,7,10,"693,2","13,40,1;15,40,1;11,1000,1;12,15,1;19,5,0;20,50,0;16,100,0;17,100,0;14,1,0;51,40,1;53,5,0;58,50,0;59,1,0;22,40,1;24,5,0;25,50,0;26,1,1;29,40,1;31,5,0;32,50,0;33,1,1;54,40,1;55,40,1;56,40,1;43,89,0;49,20,1;38,20,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"693,1",83,100,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",40
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,600,667,12,38,100,1,8,10,"693,2","13,40,1;15,40,1;11,1000,1;12,15,1;19,5,0;20,50,0;16,100,0;17,100,0;14,1,0;51,40,1;53,5,0;58,50,0;59,1,0;22,40,1;24,5,0;25,50,0;26,1,1;29,40,1;31,5,0;32,50,0;33,1,1;54,40,1;55,40,1;56,40,1;43,89,0;49,20,1;38,20,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"693,1",83,100,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,1385,668,11,40,100,1,9,20,"694,2","13,53,1;15,53,1;11,2072,1;12,15,1;19,5,0;20,50,0;16,105,0;17,105,0;14,1,0;51,53,1;53,5,0;58,50,0;59,1,0;22,53,1;24,5,0;25,50,0;26,1,1;29,53,1;31,5,0;32,50,0;33,1,1;54,53,1;55,53,1;56,53,1;43,91,0;49,26,1;38,21,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"694,1",101,200,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,1385,669,11,41,100,1,10,20,"694,2","13,53,1;15,53,1;11,2072,1;12,15,1;19,5,0;20,50,0;16,105,0;17,105,0;14,1,0;51,53,1;53,5,0;58,50,0;59,1,0;22,53,1;24,5,0;25,50,0;26,1,1;29,53,1;31,5,0;32,50,0;33,1,1;54,53,1;55,53,1;56,53,1;43,91,0;49,26,1;38,21,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"694,1",101,200,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,200,0;4,100,450",0,1385,670,12,39,100,1,11,20,"694,2","13,53,1;15,53,1;11,2072,1;12,15,1;19,5,0;20,50,0;16,105,0;17,105,0;14,1,0;51,53,1;53,5,0;58,50,0;59,1,0;22,53,1;24,5,0;25,50,0;26,1,1;29,53,1;31,5,0;32,50,0;33,1,1;54,53,1;55,53,1;56,53,1;43,91,0;49,26,1;38,21,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"694,1",101,200,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",346
"1,1000,0;2,500,448;3,500,449;5,0,0;6,200,0;4,100,450",0,3000,671,11,42,100,1,12,30,"695,2","13,58,1;15,58,1;11,2386,1;12,15,1;19,5,0;20,50,0;16,110,0;17,110,0;14,1,0;51,58,1;53,5,0;58,50,0;59,1,0;22,58,1;24,5,0;25,50,0;26,1,1;29,58,1;31,5,0;32,50,0;33,1,1;54,58,1;55,58,1;56,58,1;43,93,0;49,29,1;38,22,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"695,1",117,300,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",207
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,3000,672,11,43,100,1,13,30,"695,2","13,58,1;15,58,1;11,2386,1;12,15,1;19,5,0;20,50,0;16,110,0;17,110,0;14,1,0;51,58,1;53,5,0;58,50,0;59,1,0;22,58,1;24,5,0;25,50,0;26,1,1;29,58,1;31,5,0;32,50,0;33,1,1;54,58,1;55,58,1;56,58,1;43,93,0;49,29,1;38,22,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"695,1",117,300,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,3000,673,12,44,100,1,14,30,"695,2","13,58,1;15,58,1;11,2386,1;12,15,1;19,5,0;20,50,0;16,110,0;17,110,0;14,1,0;51,58,1;53,5,0;58,50,0;59,1,0;22,58,1;24,5,0;25,50,0;26,1,1;29,58,1;31,5,0;32,50,0;33,1,1;54,58,1;55,58,1;56,58,1;43,93,0;49,29,1;38,22,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"695,1",117,300,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,5000,676,11,74,100,1,26,40,"696,2","13,60,1;15,60,1;11,2596,1;12,15,1;19,5,0;20,50,0;16,115,0;17,115,0;14,1,0;51,60,1;53,5,0;58,50,0;59,1,0;22,60,1;24,5,0;25,50,0;26,1,1;29,60,1;31,5,0;32,50,0;33,1,1;54,60,1;55,60,1;56,60,1;43,95,0;49,30,1;38,23,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"696,1",131,400,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,5000,675,12,75,100,1,27,40,"696,2","13,60,1;15,60,1;11,2596,1;12,15,1;19,5,0;20,50,0;16,115,0;17,115,0;14,1,0;51,60,1;53,5,0;58,50,0;59,1,0;22,60,1;24,5,0;25,50,0;26,1,1;29,60,1;31,5,0;32,50,0;33,1,1;54,60,1;55,60,1;56,60,1;43,95,0;49,30,1;38,23,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"696,1",131,400,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,5000,674,12,76,100,1,28,40,"696,2","13,60,1;15,60,1;11,2596,1;12,15,1;19,5,0;20,50,0;16,115,0;17,115,0;14,1,0;51,60,1;53,5,0;58,50,0;59,1,0;22,60,1;24,5,0;25,50,0;26,1,1;29,60,1;31,5,0;32,50,0;33,1,1;54,60,1;55,60,1;56,60,1;43,95,0;49,30,1;38,23,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"696,1",131,400,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,6000,679,11,77,100,1,29,50,"697,2","13,61,1;15,61,1;11,2761,1;12,15,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,61,1;53,5,0;58,50,0;59,1,0;22,61,1;24,5,0;25,50,0;26,1,1;29,61,1;31,5,0;32,50,0;33,1,1;54,61,1;55,61,1;56,61,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"697,1",143,500,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,6000,678,11,78,100,1,30,50,"697,2","13,61,1;15,61,1;11,2761,1;12,15,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,61,1;53,5,0;58,50,0;59,1,0;22,61,1;24,5,0;25,50,0;26,1,1;29,61,1;31,5,0;32,50,0;33,1,1;54,61,1;55,61,1;56,61,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"697,1",143,500,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,200,0;4,100,450",0,6000,677,12,79,100,1,31,50,"697,2","13,61,1;15,61,1;11,2761,1;12,15,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,61,1;53,5,0;58,50,0;59,1,0;22,61,1;24,5,0;25,50,0;26,1,1;29,61,1;31,5,0;32,50,0;33,1,1;54,61,1;55,61,1;56,61,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"697,1",143,500,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",398
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,8400,680,11,80,100,1,32,60,"698,2","13,62,1;15,62,1;11,2903,1;12,15,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,62,1;53,5,0;58,50,0;59,1,0;22,62,1;24,5,0;25,50,0;26,1,1;29,62,1;31,5,0;32,50,0;33,1,1;54,62,1;55,62,1;56,62,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"698,1",155,600,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,200,0;4,100,450",0,8400,682,11,81,100,1,33,60,"698,2","13,62,1;15,62,1;11,2903,1;12,15,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,62,1;53,5,0;58,50,0;59,1,0;22,62,1;24,5,0;25,50,0;26,1,1;29,62,1;31,5,0;32,50,0;33,1,1;54,62,1;55,62,1;56,62,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"698,1",155,600,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",406
"1,1000,0;2,500,448;3,500,449;5,0,0;6,0,0;4,100,450",0,8400,681,12,82,100,1,34,60,"698,2","13,62,1;15,62,1;11,2903,1;12,15,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,62,1;53,5,0;58,50,0;59,1,0;22,62,1;24,5,0;25,50,0;26,1,1;29,62,1;31,5,0;32,50,0;33,1,1;54,62,1;55,62,1;56,62,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"698,1",155,600,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",
"1,1000,0;2,500,448;3,500,449;5,0,0;6,200,0;4,100,450",0,9600,684,11,98,100,1,57,70,"699,2","13,62,1;15,62,1;11,3037,1;12,15,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,62,1;53,5,0;58,50,0;59,1,0;22,62,1;24,5,0;25,50,0;26,1,1;29,62,1;31,5,0;32,50,0;33,1,1;54,62,1;55,62,1;56,62,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"699,1",165,600,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",452
"1,1000,0;2,500,448;3,500,449;5,0,0;6,200,0;4,100,450",0,9600,683,11,99,100,1,58,70,"699,2","13,62,1;15,62,1;11,3037,1;12,15,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,62,1;53,5,0;58,50,0;59,1,0;22,62,1;24,5,0;25,50,0;26,1,1;29,62,1;31,5,0;32,50,0;33,1,1;54,62,1;55,62,1;56,62,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"699,1",165,600,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",446
"1,1000,0;2,500,448;3,500,449;5,0,0;6,200,0;4,100,450",0,9600,685,12,100,100,1,59,70,"699,2","13,62,1;15,62,1;11,3037,1;12,15,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,62,1;53,5,0;58,50,0;59,1,0;22,62,1;24,5,0;25,50,0;26,1,1;29,62,1;31,5,0;32,50,0;33,1,1;54,62,1;55,62,1;56,62,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"699,1",165,200,1000,"450,900,1800,3600,7200,14400,28800,57600,115200",441
