desc-string,id-int,parameters_1-int[],parameters_2-int[][],type-int
怪物的防御力已增强。,1,2,650,2
怪物的攻击力已增强。,2,2,651,2
玩家的防御力已削弱。,3,1,652,2
玩家的攻击力已削弱。,4,1,653,2
怪物的最大生命值已增加。,5,2,654,2
怪物的防御力已削弱。,6,2,655,2
怪物的攻击力已削弱。,7,2,656,2
玩家的防御力已增强。,8,1,657,2
玩家的攻击力已增强。,9,1,658,2
怪物的最大生命值已减少。,10,2,659,2
在战斗中触发了随机减益事件。,11,,"10000,1;10000,2;10000,3;10000,4;10000,5",1
在战斗中触发了随机增益事件。,12,,"10000,6;10000,7;10000,8;10000,9;10000,10",1
在采集过程中触发了随机减益事件。,13,,"10000,17;10000,18;10000,19;10000,20",1
在采集过程中触发了随机增益事件。,14,,"10000,21;10000,18;10000,23;10000,24",1
在农场中触发了随机减益事件。,15,,"10000,25;10000,26;10000,28;10000,29;10000,30",1
在农场中触发了随机增益事件。,16,,"10000,31;10000,32;10000,34;10000,35;10000,36",1
采集物品的防御力已增强。,17,5,"60,1,150,60,4;61,1,150,61,4;62,1,150,62,4",3
采集物品的最大进度值已增强。,18,5,"76,1,100,76,4",3
玩家的采集攻击力已削弱。,19,1,660,2
玩家的移动速度已减慢。,20,1,661,2
采集物品的防御力已削弱。,21,5,"60,1,-150,60,4;61,1,-150,61,4;62,1,-150,62,4",3
采集物品的最大进度值已削弱。,22,5,"76,1,-100,76,4",3
玩家的采集攻击力已增强。,23,1,662,2
玩家的移动速度已增加。,24,1,663,2
作物的浇水需求增加了。,25,8,"71,1,100,71,4",3
作物的熟练度要求已增加。,26,8,"73,1,25,73,4",3
 作物已恢复到之前的生长阶段。,27,,"1,-1",4
 作物需要再次浇水。,28,,"2,0",4
 玩家的浇水速度变慢了。,29,1,664,2
 玩家的种植熟练度已减弱。,30,1,665,2
 作物的水需求减少了。,31,8,"71,1,-100,71,4",3
 作物的熟练度要求减少了。,32,8,"73,1,-25,73,4",3
 作物已进入下一个生长阶段。,33,,"1,1",4
 所有作物已经浇水。,34,,"2,1",4
 玩家的浇水速度增加了。,35,1,666,2
 玩家的种植熟练度已提升。,36,1,667,2
 玩家的采集统计数据重新计算。,37,1,668,2
 采集物品的统计数据重新计算。,38,5,,3
