dropId-int,exp-int,farmPotentiality-int[],functionType-int,growRes-string[],harvestRes-string,id-int,initialAttribute-int[][],lv-int,progressScore-int,rankScore-int,worldDropGroup-int,functionAvatar-string
16,15,"500,520",0,"seed-146-p1,seed-146-p2,seed-146-p3,seed-146-p4",seed-146-final,146,"71,100,0;72,85,0;73,480,0;74,1838,0;75,60480000,0",1,2,14,1,
17,15,"500,520",0,"seed-147-p1,seed-147-p2,seed-147-p3",seed-147-final,147,"71,100,0;72,85,0;73,360,0;74,1838,0;75,60480000,0",1,2,14,1,
18,15,"500,520",0,"seed-148-p1,seed-148-p2,seed-148-p3",seed-148-final,148,"71,100,0;72,85,0;73,360,0;74,1838,0;75,60480000,0",1,2,14,1,
19,21,"520,538",0,"seed-149-p1,seed-149-p2,seed-149-p3",seed-149-final,149,"71,150,0;72,97,0;73,675,0;74,4587,0;75,60480000,0",2,4,20,2,
20,21,"520,538",0,"seed-150-p1,seed-150-p2,seed-150-p3,seed-150-p4",seed-150-final,150,"71,150,0;72,97,0;73,900,0;74,4587,0;75,60480000,0",2,4,20,2,
21,21,"520,538",0,"seed-151-p1,seed-151-p2,seed-151-p3",seed-151-final,151,"71,150,0;72,97,0;73,675,0;74,4587,0;75,60480000,0",2,4,20,2,
22,30,"538,553",0,"seed-152-p1,seed-152-p2,seed-152-p3,seed-152-p4",seed-152-final,152,"71,200,0;72,110,0;73,1320,0;74,10080,0;75,60480000,0",3,8,28,3,
23,30,"538,553",0,"seed-153-p1,seed-153-p2,seed-153-p3",seed-153-final,153,"71,200,0;72,110,0;73,990,0;74,10080,0;75,60480000,0",3,8,28,3,
24,30,"538,553",0,"seed-154-p1,seed-154-p2,seed-154-p3,seed-154-p4",seed-154-final,154,"71,200,0;72,110,0;73,1320,0;74,10080,0;75,60480000,0",3,8,28,3,
65,42,"553,565",0,"seed-413-p1,seed-413-p2,seed-413-p3",seed-413-final,413,"71,250,0;72,137,0;73,1305,0;74,6363,0;75,60480000,0",4,16,40,4,
66,42,"553,565",0,"seed-414-p1,seed-414-p2,seed-414-p3",seed-414-final,414,"71,250,0;72,137,0;73,1305,0;74,6363,0;75,60480000,0",4,16,40,4,
67,42,"553,565",0,"seed-415-p1,seed-415-p2,seed-415-p3",seed-415-final,415,"71,250,0;72,137,0;73,1305,0;74,6363,0;75,60480000,0",4,16,40,4,
68,60,"565,575",0,"seed-416-p1,seed-416-p2,seed-416-p3",seed-416-final,416,"71,300,0;72,146,0;73,1620,0;74,9895,0;75,60480000,0",5,32,56,5,
69,60,"565,575",0,"seed-417-p1,seed-417-p2,seed-417-p3",seed-417-final,417,"71,300,0;72,146,0;73,1620,0;74,9895,0;75,60480000,0",5,32,56,5,
70,60,"565,575",0,"seed-418-p1,seed-418-p2,seed-418-p3",seed-418-final,418,"71,300,0;72,146,0;73,1620,0;74,9895,0;75,60480000,0",5,32,56,5,
71,84,"575,582",0,"seed-419-p1,seed-419-p2,seed-419-p3,seed-419-p4",seed-419-final,419,"71,350,0;72,155,0;73,2580,0;74,16041,0;75,60480000,0",6,64,80,6,
72,84,"575,582",0,"seed-420-p1,seed-420-p2,seed-420-p3,seed-420-p4",seed-420-final,420,"71,350,0;72,155,0;73,2580,0;74,16041,0;75,60480000,0",6,64,80,6,
73,84,"575,582",0,"seed-421-p1,seed-421-p2,seed-421-p3,seed-421-p4",seed-421-final,421,"71,350,0;72,155,0;73,2580,0;74,16041,0;75,60480000,0",6,64,80,6,
95,120,"582,587",0,"seed-614-p1,seed-614-p2,seed-614-p3,seed-614-p4",seed-614-final,614,"71,400,0;72,175,0;73,3000,0;74,7765,0;75,60480000,0",7,128,113,7,
96,120,"582,587",0,"seed-615-p1,seed-615-p2,seed-615-p3,seed-615-p4",seed-615-final,615,"71,400,0;72,175,0;73,3000,0;74,7765,0;75,60480000,0",7,128,113,7,
97,120,"582,587",0,"seed-616-p1,seed-616-p2,seed-616-p3,seed-616-p4",seed-616-final,616,"71,400,0;72,175,0;73,3000,0;74,7765,0;75,60480000,0",7,128,113,7,
107,169,"587,590",0,"seed-617-p1,seed-617-p2,seed-617-p3,seed-617-p4",seed-617-final,617,"71,450,0;72,182,0;73,3420,0;74,14884,0;75,60480000,0",8,256,160,8,
