gearAttribute-int[][],gearAvatar-int,gearDurabilityMax-int,gearQuality-int,gearType-int,gender-string,givenSkillId-int[],id-int,itemId-int
"13,1,20,25;19,1,20,45;51,1,20,25",1,999,1,8,unisex,"17,18,19",1,39
"15,1,9,27;11,1,35,105",50,999,1,1,male,,3,43
"15,1,11,33;11,1,27,81",56,999,1,2,male,,5,46
"11,1,36,110;15,1,8,26",62,999,1,3,male,,7,49
"7,1,5,10;15,1,9,27;11,1,36,110",65,999,1,4,unisex,,9,55
"13,1,4,14;15,1,7,21;11,1,27,81",59,999,1,5,unisex,,11,52
"13,1,40,122;19,1,24,54;51,1,20,25;16,1,0,0",2,999,1,8,unisex,"17,18,19",13,40
"39,1,50,80;49,1,8,25;50,1,8,25;44,1,184,551;47,1,184,551",54,999,1,1,unisex,,26,98
"39,1,80,110;49,1,25,33;50,1,25,33;44,1,551,734;47,1,551,734",83,999,1,1,unisex,,27,99
"39,1,140,160;49,1,42,47;50,1,42,47;44,1,918,1040;47,1,918,1040",84,999,1,1,unisex,,28,100
"40,1,30,50;49,1,6,19;50,1,6,19;44,1,220,659;47,1,220,659",57,999,1,2,unisex,,29,101
"40,1,50,80;49,1,19,25;50,1,19,25;44,1,659,878;47,1,659,878",85,999,1,2,unisex,,30,102
"40,1,110,140;49,1,32,36;50,1,32,36;44,1,1098,1244;47,1,1098,1244",94,999,1,2,unisex,,31,103
"37,1,50,80;49,1,9,27;50,1,9,27;44,1,175,524;47,1,175,524",63,999,1,3,unisex,,32,104
"37,1,80,110;49,1,27,35;49,1,27,35;50,1,27,35;50,1,27,35;44,1,524,698;44,1,551,734;47,1,524,698;47,1,551,734",87,999,1,3,unisex,,33,105
"37,1,140,160;49,1,44,50;50,1,44,50;44,1,873,989;47,1,873,989",96,999,1,3,unisex,,34,106
"41,1,30,50;49,1,6,19;50,1,6,19;44,1,139,416;47,1,139,416",60,999,1,5,unisex,,35,107
"41,1,50,80;49,1,19,25;50,1,19,25;44,1,416,554;47,1,416,554",36,999,1,5,unisex,,36,108
"41,1,80,120;49,1,32,36;50,1,32,36;44,1,693,785;47,1,693,785",95,999,1,5,unisex,,37,109
"8,1,5,10;49,1,9,27;50,1,9,27;44,1,184,551;47,1,184,551",66,999,1,4,unisex,,38,110
"8,1,11,15",88,999,1,4,unisex,,39,111
"8,1,16,20;49,1,44,50;50,1,44,50;44,1,918,1040;47,1,918,1040",97,999,1,4,unisex,,40,112
"34,2,50,80;54,1,8,25;55,1,8,25;56,1,8,25",67,999,1,4,unisex,,41,113
"34,2,80,110;54,1,25,33;55,1,25,33;56,1,25,33",93,999,1,4,unisex,,42,114
"34,2,130,150;54,1,41,46;55,1,41,46;56,1,41,46",102,999,1,4,unisex,,43,115
"23,1,50,80;54,1,8,25;55,1,8,25;56,1,8,25",55,999,1,1,unisex,,44,116
"23,1,80,110;54,1,25,33;55,1,25,33;56,1,25,33",89,999,1,1,unisex,,45,117
"23,1,130,150;54,1,41,46;55,1,41,46;56,1,41,46",98,999,1,1,unisex,,46,118
"26,1,50,80;54,1,10,30;55,1,10,30;56,1,10,30",58,999,1,2,unisex,,47,119
"26,1,80,110;54,1,30,39;54,1,30,39;55,1,30,39;55,1,30,39;56,1,30,39;56,1,30,39",90,999,1,2,unisex,,48,120
"26,1,130,150;54,1,49,55;55,1,49,55;56,1,49,55",99,999,1,2,unisex,,49,121
"32,1,50,80;54,1,8,24;55,1,8,24;56,1,8,24",64,999,1,3,unisex,,50,122
"32,1,80,110;54,1,24,31;55,1,24,31;56,1,24,31",92,999,1,3,unisex,,51,123
"32,1,130,150;54,1,39,44;55,1,39,44;56,1,39,44",101,999,1,3,unisex,,52,124
"30,1,50,80;51,1,5,14;22,1,5,14;29,1,5,14;54,1,6,19;55,1,6,19;56,1,6,19",61,999,1,5,unisex,,53,125
"30,1,80,110;51,1,14,18;22,1,14,18;29,1,14,18;54,1,19,25;55,1,19,25;56,1,19,25",91,999,1,5,unisex,,54,126
"30,1,130,150;51,1,23,26;22,1,23,26;29,1,23,26;54,1,31,35;55,1,31,35;56,1,31,35",100,999,1,5,unisex,,55,127
"13,1,121,162;19,1,32,62;51,1,20,25;16,1,0,2",30,999,1,8,unisex,"17,18,19",56,41
"13,1,202,229;19,1,39,67;51,1,20,25;16,1,5,6",31,999,1,8,unisex,"17,18,19",57,42
"15,1,28,37;11,1,101,136",34,999,1,1,unisex,,58,44
"15,1,46,52;11,1,167,190",39,999,1,1,unisex,,59,45
"15,1,33,44;11,1,78,105",35,999,1,2,unisex,,60,47
"15,1,55,62;11,1,128,146",40,999,1,2,unisex,,61,48
"11,1,105,142;15,1,26,35",37,999,1,3,unisex,,62,50
"11,1,175,199;15,1,43,49",42,999,1,3,unisex,,63,51
"13,1,13,18;15,1,21,28;11,1,78,105",86,999,1,5,unisex,,65,53
"13,1,22,25;15,1,35,39;11,1,128,146",41,999,1,5,unisex,,66,54
"7,1,15,20;15,1,28,37;11,1,105,142",38,999,1,4,unisex,,68,56
"7,1,30,35;15,1,46,52;11,1,175,199",43,999,1,4,unisex,,69,57
"36,1,1,8",20,999,1,8,unisex,21,70,79
"13,1,20,25;36,1,13,17;43,1,8,24",27,999,1,8,unisex,21,71,80
"13,1,20,25;36,1,18,21;43,1,23,30",28,999,1,8,unisex,21,72,81
"13,1,20,25;36,1,24,26;43,1,36,40",29,999,1,8,unisex,21,73,82
"38,1,30,40",22,999,1,8,unisex,22,74,83
"38,1,41,50",71,999,1,8,unisex,22,75,84
"38,1,51,55",72,999,1,8,unisex,22,76,85
"38,1,61,65",73,999,1,8,unisex,22,77,86
"29,1,5,10",21,999,1,8,unisex,25,78,87
"13,1,20,25;29,1,41,122",68,999,1,8,unisex,25,79,88
"13,1,20,25;29,1,122,162",69,999,1,8,unisex,25,80,89
"13,1,20,25;29,1,203,230",70,999,1,8,unisex,25,81,90
"22,1,5,10",23,999,1,8,unisex,26,82,91
"13,1,20,25;22,1,41,122",74,999,1,8,unisex,26,83,92
"13,1,20,25;22,1,122,162",75,999,1,8,unisex,26,84,93
"13,1,20,25;22,1,203,230",76,999,1,8,unisex,26,85,94
"46,1,1,8",24,999,1,8,unisex,30,86,95
