id-int,isUpdateNow-bool,type-int,pointList-int[][],updateInterval-int
1,0,1,,
2,0,1,,
3,0,0,"100,14,100;100,14,100",10000
4,0,0,"100,15,100;100,15,100",20000
5,0,0,"100,7,100;100,7,100",20000
6,0,0,"100,65,100;100,65,100",80000
7,0,0,"100,68,100;100,68,100",160000
8,0,0,"100,71,100;100,71,100",160000
9,0,0,"100,85,10;100,87,10",640000
10,0,0,"100,91,10;100,93,10",1280000
11,0,0,"100,99,10;100,97,10",1280000
12,0,0,"100,4,100;100,4,100",10000
13,0,0,"100,6,100;100,6,100",20000
14,0,0,"100,16,100;100,16,100",20000
15,0,0,"100,66,100;100,66,100",80000
16,0,0,"100,69,100;100,69,100",160000
17,0,0,"100,72,100;100,72,100",160000
18,0,0,"100,85,10;100,89,10",640000
19,0,0,"100,95,10;100,91,10",1280000
20,0,0,"100,101,10;100,97,10",1280000
21,0,0,"100,8,100;100,8,100",10000
22,0,0,"100,9,100;100,9,100",20000
23,0,0,"100,11,100;100,11,100",20000
24,0,0,"100,67,100;100,67,100",80000
25,0,0,"100,70,100;100,70,100",160000
26,0,0,"100,73,100;100,73,100",160000
27,0,0,"100,87,10;100,89,10",640000
28,0,0,"100,93,10;100,95,10",1280000
29,0,0,"100,99,10;100,101,10",1280000
30,1,0,"100,14,5;100,14,5",86400000
31,1,0,"100,15,5;100,15,5",86400000
32,1,0,"100,7,5;100,7,5",86400000
33,1,0,"100,65,5;100,65,5",86400000
34,1,0,"100,68,5;100,68,5",86400000
35,1,0,"100,71,5;100,71,5",86400000
36,1,0,"100,85,5;100,87,5",86400000
37,1,0,"100,91,5;100,93,5",86400000
38,1,0,"100,99,5;100,97,5",86400000
39,1,0,"100,4,5;100,4,5",86400000
40,1,0,"100,6,5;100,6,5",86400000
41,1,0,"100,16,5;100,16,5",86400000
42,1,0,"100,66,5;100,66,5",86400000
43,1,0,"100,69,5;100,69,5",86400000
44,1,0,"100,72,5;100,72,5",86400000
45,1,0,"100,85,5;100,89,5",86400000
46,1,0,"100,95,5;100,91,5",86400000
47,1,0,"100,101,5;100,97,5",86400000
48,1,0,"100,8,5;100,8,5",86400000
49,1,0,"100,9,5;100,9,5",86400000
50,1,0,"100,11,5;100,11,5",86400000
51,1,0,"100,67,5;100,67,5",86400000
52,1,0,"100,70,5;100,70,5",86400000
53,1,0,"100,73,5;100,73,5",86400000
54,1,0,"100,87,5;100,89,5",86400000
55,1,0,"100,93,5;100,95,5",86400000
56,1,0,"100,99,5;100,101,5",86400000
57,1,0,"100,14,2;100,14,2",86400000
58,1,0,"100,15,2;100,15,2",86400000
59,1,0,"100,7,2;100,7,2",86400000
60,1,0,"100,65,2;100,65,2",86400000
61,1,0,"100,68,2;100,68,2",86400000
62,1,0,"100,71,2;100,71,2",86400000
63,1,0,"100,85,2;100,87,2",86400000
64,1,0,"100,91,2;100,93,2",86400000
65,1,0,"100,99,2;100,97,2",86400000
66,1,0,"100,4,2;100,4,2",86400000
67,1,0,"100,6,2;100,6,2",86400000
68,1,0,"100,16,2;100,16,2",86400000
69,1,0,"100,66,2;100,66,2",86400000
70,1,0,"100,69,2;100,69,2",86400000
71,1,0,"100,72,2;100,72,2",86400000
72,1,0,"100,85,2;100,89,2",86400000
73,1,0,"100,95,2;100,91,2",86400000
74,1,0,"100,101,2;100,97,2",86400000
75,1,0,"100,8,2;100,8,2",86400000
76,1,0,"100,9,2;100,9,2",86400000
77,1,0,"100,11,2;100,11,2",86400000
78,1,0,"100,67,2;100,67,2",86400000
79,1,0,"100,70,2;100,70,2",86400000
80,1,0,"100,73,2;100,73,2",86400000
81,1,0,"100,87,2;100,89,2",86400000
82,1,0,"100,93,2;100,95,2",86400000
83,1,0,"100,99,2;100,101,2",86400000
84,1,0,"100,19,10;100,20,10;100,21,10;100,22,10;100,24,10;100,25,10;100,26,10;100,27,10;100,28,10;100,30,10;100,31,10;100,32,10",26100
85,1,0,"100,83,5;100,29,5",26100
