belongtoLv-int,bodyCapacity-int,captureHp-int,captureSkillCastPool-int[][],combatDist-int,combatPotentiality-int[],desc-string,exp-int,farmPotentiality-int[],favoriteItem-int[],gatherPotentiality-int[],icon-string,id-int,initialAttribute-int[][],lockEnemyRange-int,name-string,progressScore-int,pushDist-int,pushDmg-int,roleAssetID-int,skillCastPool-int[][],tokenTaskLevel-int[],totemScore-int,dropId-int
999,66,40,"169,100",5000,"537,565",Big Dryad,15,"537,565",30,"537,565",monster-icon-4,4,"13,137,1;15,152,1;11,1518,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",240,大幹樹靈,0,30,20,13,"34,100",999,0,
1,30,20,"169,100",3000,"500,537",,14,"500,537",6961,"500,537",monster-icon-6,6,"13,100,1;15,100,1;11,1000,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",500,金屬狗,2,30,20,10,"179,100;359,100;31,100","0, 1",1,7
1,30,20,"169,100",4000,"500,537",,15,"500,537",6961,"500,537",monster-icon-7,7,"13,100,1;15,90,1;11,900,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",500,南瓜惡魔,2,30,20,11,"32,100;180,100;40,100;361,100","0, 1",1,8
1,30,20,"169,100",3000,"500,537",,14,"500,537",6961,"500,537",monster-icon-8,8,"13,95,1;15,105,1;11,1050,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",500,仙人掌戰士,2,30,30,12,"33,100;181,100;360,100","0, 1",1,9
2,30,30,"169,100",3000,"520,552",,20,"520,552",6961,"520,552",monster-icon-9,9,"13,125,1;15,138,1;11,1381,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",1500,礦礦貓,4,30,20,28,"112,100;184,100;363,100",2,0,10
2,30,30,"169,100",3000,"520,552",,22,"520,552",6961,"520,552",monster-icon-10,10,"13,132,1;15,132,1;11,1316,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",1500,葉狀潛伏者,4,30,20,29,"111,100;183,100;364,100",2,0,11
2,30,30,"169,100",4000,"520,552",,21,"520,552",6961,"520,552",monster-icon-11,11,"13,132,1;15,118,1;11,1184,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",1500,嗡嗡蜂,4,30,20,27,"96,100;182,100;346,100;362,100",2,0,12
3,30,40,"169,100",5000,"537,565",,31,"537,565",6961,"537,565",monster-icon-12,12,"13,145,1;15,130,1;11,1301,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",1500,混沌幽靈,8,20,20,37,"206,100;207,100;366,100",3,0,13
3,30,40,"169,100",5000,"537,565",,28,"537,565",6961,"537,565",monster-icon-13,13,"13,145,1;15,145,1;11,1446,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",1500,深紅猛擊者,8,20,20,36,"208,100;209,100;365,100",3,0,14
3,30,40,"169,100",5000,"537,565",,30,"537,565",6961,"537,565",monster-icon-14,14,"13,137,1;15,152,1;11,1518,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",1500,冰霜爪牙,8,10,20,31,"210,100;211,100;367,100",3,0,15
