ability-int[][],autoHarvest-bool,breedingDifficulty-int,eggItemId-int,extendSkill-int[],harvestAction-int,harvestDropId-int,harvestTime-int,hungerSpeed-int,id-int,incubationDuration-int,incubationMat-int[][],initialAttribute-int[][],maxHunger-int,potWashingItem-int[],requiredHappiness-int,requiredProficiency-int,toEggProbability-int,upgradeEXP-int[]
"1,1000,0",0,600,665,"435,446,447",11,36,100,1,6,100,"66,5;213,2","13,20,1;15,20,1;11,750,1;19,5,0;20,50,0;16,100,0;17,100,0;14,1,0;51,20,1;53,5,0;58,50,0;59,1,0;22,20,1;24,5,0;25,50,0;26,1,1;29,20,1;31,5,0;32,50,0;33,1,1;54,20,1;55,20,1;56,20,1;43,89,0;49,20,1;38,20,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",83,100,750,"100,200,300,400,500,600,700,800"
"2,1000,448",0,600,666,"435,446,447",12,37,100,1,7,100,"66,5;213,2","13,20,1;15,20,1;11,750,1;19,5,0;20,50,0;16,100,0;17,100,0;14,1,0;51,20,1;53,5,0;58,50,0;59,1,0;22,20,1;24,5,0;25,50,0;26,1,1;29,20,1;31,5,0;32,50,0;33,1,1;54,20,1;55,20,1;56,20,1;43,89,0;49,20,1;38,20,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",83,100,750,"100,200,300,400,500,600,700,800"
"3,1000,449",0,600,667,"435,446,447",12,38,100,1,8,100,"66,5;213,2","13,20,1;15,20,1;11,750,1;19,5,0;20,50,0;16,100,0;17,100,0;14,1,0;51,20,1;53,5,0;58,50,0;59,1,0;22,20,1;24,5,0;25,50,0;26,1,1;29,20,1;31,5,0;32,50,0;33,1,1;54,20,1;55,20,1;56,20,1;43,89,0;49,20,1;38,20,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",83,100,750,"100,200,300,400,500,600,700,800"
"4,1000,450",0,1385,668,"435,446,447",11,40,100,1,9,100,"66,5;213,2","13,26,1;15,26,1;11,1036,1;19,5,0;20,50,0;16,105,0;17,105,0;14,1,0;51,26,1;53,5,0;58,50,0;59,1,0;22,26,1;24,5,0;25,50,0;26,1,1;29,26,1;31,5,0;32,50,0;33,1,1;54,26,1;55,26,1;56,26,1;43,91,0;49,26,1;38,21,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",101,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,1385,669,"435,446,447",11,41,100,1,10,100,"66,5;213,2","13,26,1;15,26,1;11,1036,1;19,5,0;20,50,0;16,105,0;17,105,0;14,1,0;51,26,1;53,5,0;58,50,0;59,1,0;22,26,1;24,5,0;25,50,0;26,1,1;29,26,1;31,5,0;32,50,0;33,1,1;54,26,1;55,26,1;56,26,1;43,91,0;49,26,1;38,21,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",101,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,1385,670,"435,446,447",12,39,100,1,11,100,"66,5;213,2","13,26,1;15,26,1;11,1036,1;19,5,0;20,50,0;16,105,0;17,105,0;14,1,0;51,26,1;53,5,0;58,50,0;59,1,0;22,26,1;24,5,0;25,50,0;26,1,1;29,26,1;31,5,0;32,50,0;33,1,1;54,26,1;55,26,1;56,26,1;43,91,0;49,26,1;38,21,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",101,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,3000,671,"435,446,447",11,42,100,1,12,100,"66,5;213,2","13,29,1;15,29,1;11,1193,1;19,5,0;20,50,0;16,110,0;17,110,0;14,1,0;51,29,1;53,5,0;58,50,0;59,1,0;22,29,1;24,5,0;25,50,0;26,1,1;29,29,1;31,5,0;32,50,0;33,1,1;54,29,1;55,29,1;56,29,1;43,93,0;49,29,1;38,22,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",117,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,3000,672,"435,446,447",11,43,100,1,13,100,"66,5;213,2","13,29,1;15,29,1;11,1193,1;19,5,0;20,50,0;16,110,0;17,110,0;14,1,0;51,29,1;53,5,0;58,50,0;59,1,0;22,29,1;24,5,0;25,50,0;26,1,1;29,29,1;31,5,0;32,50,0;33,1,1;54,29,1;55,29,1;56,29,1;43,93,0;49,29,1;38,22,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",117,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,3000,673,"435,446,447",12,44,100,1,14,100,"66,5;213,2","13,29,1;15,29,1;11,1193,1;19,5,0;20,50,0;16,110,0;17,110,0;14,1,0;51,29,1;53,5,0;58,50,0;59,1,0;22,29,1;24,5,0;25,50,0;26,1,1;29,29,1;31,5,0;32,50,0;33,1,1;54,29,1;55,29,1;56,29,1;43,93,0;49,29,1;38,22,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",117,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,6000,677,"435,446,447",11,74,100,1,26,100,"66,5;213,2","13,31,1;15,31,1;11,1380,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",143,400,750,"100,200,300,400,500,600,700,800"
