classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
1,製作 Lv 1 石劍,2,recipe-icon-44,44,1,"210,1;213,1",Lv 1 石劍配方,"40,1,1,10000",1,0,99044,1,10,-,2,0,4,0,0
0,製作 Lv 2 鐵劍,2,recipe-icon-45,45,2,"207,2;211,1;214,1",Lv 2 鐵劍配方,"41,1,1,6000;41,2,1,4000",1,0,98045,1,10,-,2,0,4,0,0
0,製作 Lv 3 水晶劍,2,recipe-icon-46,46,3,"208,2;212,1;215,1",Lv 3 水晶劍配方,"42,1,1,4736;42,2,1,3157;42,3,1,2105",1,0,97046,1,10,-,2,0,4,0,0
0,製作 Lv 1 鐵質鋤頭,2,recipe-icon-62,62,1,"207,2",Lv 1 鐵質鋤頭配方,"80,1,1,10000",1,0,99062,1,10,-,1,0,4,0,0
0,製作 Lv 0 濕潤肥料,2,recipe-icon-94,94,1,"69,1",Lv 0 濕潤肥料,"130,1,1,10000",3,0,99094,1,10,-,1,0,4,0,0
0,製作 Lv 3 祝福鋤頭,2,recipe-icon-64,64,3,"217,2;209,2",Lv 3 祝福鋤頭配方,"82,1,1,10000",1,0,97064,1,10,-,1,0,4,0,0
0,製作 Lv 0 增產肥料,2,recipe-icon-93,93,1,"61,1",Lv 0 增產肥料,"129,1,1,10000",3,0,99093,1,10,-,1,0,4,0,0
0,製作 Lv 2 詛咒水壺,2,recipe-icon-67,67,2,"216,2;208,2",Lv 2 詛咒水壺配方,"85,2,1,4000;84,1,1,6000",1,0,98067,1,10,-,1,0,4,0,0
0,製作 Lv 3 祝福斧頭,2,recipe-icon-76,76,3,"211,1;214,1;218,2",Lv 3 祝福斧頭配方,"94,1,1,10000",1,0,97076,1,10,-,3,0,4,0,0
0,製作 Lv 0 次級治療藥水,2,recipe-icon-95,95,1,"66,5;32,5",Lv 0 次級治療藥水,"134,1,1,5031;135,1,1,993;136,1,1,993;137,1,1,993;139,1,1,993;138,1,1,993",3,0,99095,1,10,-,3,0,4,0,0
0,製作 Lv 1 治療藥水,2,recipe-icon-96,96,2,"67,2;75,2;35,2",Lv 1 治療藥水,"140,1,1,5031;142,1,1,993;141,1,1,993;143,1,1,993;145,1,1,993;144,1,1,993",3,0,98096,1,10,-,3,0,4,0,0
0,製作 Lv 2 詛咒鋤頭,2,recipe-icon-63,63,2,"216,2;208,2",Lv 2 詛咒鋤頭配方,"81,1,1,10000",1,0,98063,1,10,-,1,0,4,0,0
0,製作 Lv 2 詛咒鎬子,2,recipe-icon-71,71,2,"210,1;213,1;217,2",Lv 2 詛咒鎬子配方,"89,1,1,6000;89,2,1,4000",1,0,98071,1,10,-,3,0,4,0,0
0,製作 Lv 1 鐵質鎬子,2,recipe-icon-70,70,1,"216,2",Lv 1 鐵質鎬子配方,"88,1,1,10000",1,0,99070,1,10,-,3,0,4,0,0
0,製作 Lv 3 祝福稿子,2,recipe-icon-72,72,3,"211,1;214,1;218,2",Lv 3 祝福稿子配方,"90,1,1,10000",1,0,97072,1,10,-,3,0,4,0,0
0,製作 Lv 3 祝福水壺,2,recipe-icon-68,68,3,"217,2;209,2",Lv 3 祝福水壺配方,"86,1,1,10000",1,0,97068,1,10,-,1,0,4,0,0
0,製作 Lv 1 鐵質斧頭,2,recipe-icon-74,74,1,"216,2",Lv 1 鐵質斧頭配方,"92,1,1,10000",1,0,99074,1,10,-,3,0,4,0,0
0,製作 Lv 1 鐵質水壺,2,recipe-icon-66,66,1,"207,2",Lv 1 鐵質水壺配方,"84,1,1,10000",1,0,99066,1,10,-,1,0,4,0,0
0,製作 Lv 0 加速肥料,2,recipe-icon-92,92,1,"65,1",Lv 0 加速肥料,"128,1,1,10000",3,0,99092,1,10,-,1,0,4,0,0
0,製作 Lv 2 詛咒斧頭,2,recipe-icon-75,75,2,"210,1;213,1;217,2",Lv 2 詛咒斧頭配方,"93,1,1,6000;93,2,1,4000",1,0,98075,1,10,-,3,0,4,0,0
0,製作 Lv 0 高級濕潤肥料,2,recipe-icon-101,101,2,"69,2;35,2",Lv 0 高級濕潤肥料,"133,1,1,10000",3,0,98101,1,10,-,1,0,4,0,0
0,製作 Lv 0 高級增產肥料,2,recipe-icon-102,102,2,"61,2;35,2",Lv 0 高級增產肥料,"132,1,1,10000",3,0,98102,1,10,-,1,0,4,0,0
0,製作 Lv 0 高級加速肥料,2,recipe-icon-103,103,2,"65,2;35,2",Lv 0 高級加速肥料,"131,1,1,10000",3,0,98103,1,10,-,1,0,4,0,0
0,製作 Lv 0 護身符,2,recipe-icon-104,104,1,"32,20;71,40;58,40;62,40;66,40",Lv 0 護身符,",1,1,4736;,2,1,3157;,3,1,2105",,0,99104,1,10,-,0,0,4,0,100
0,製作 Lv 0 護身符,2,recipe-icon-106,106,1,"38,20;77,40;60,40;64,40;68,40",Lv 0 護身符,",2,1,4426;,3,1,2950;,4,1,1967;,5,1,655",,0,99106,1,10,-,0,0,4,0,200
0,製作 Lv 1 農業帽子,2,recipe-icon-108,108,1,"207,2",Lv 1 幸運三葉草帽子,"98,1,1,9310;241,5,1,344;262,5,1,344",1,0,99108,1,10,-,1,0,4,0,0
0,製作 Lv 2 農業帽子,2,recipe-icon-109,109,2,"216,2;208,2",Lv 2 幸運棉花帽子,"99,1,1,5744;99,2,1,3829;267,5,1,212;272,5,1,212",1,0,98109,1,10,-,1,0,4,0,0
