dropId-int,exp-int,functionType-int,growRes-string[],growTotalTime-int,harvestRes-string,id-int,lv-int,needWaterValue-int,plantingDifficulty-int,requiredFertilizer-int,requirementProficiency-int,witherTime-int,functionAvatar-string
16,16.66666667,0,"seed-146692-p1,seed-146692-p2,seed-146692-p3,seed-146692-p4",30,seed-146692-final,146692,1,100,[600],[82.73451517],400,172800,
17,16.66666667,0,"seed-147-p1,seed-147-p2,seed-147-p3",30,seed-147-final,147,1,100,[600],[82.73451517],300,172800,
18,16.66666667,0,"seed-148-p1,seed-148-p2,seed-148-p3",30,seed-148-final,148,1,100,[600],[82.73451517],300,172800,
19,51.84262426,0,"seed-149-p1,seed-149-p2,seed-149-p3",60,seed-149-final,149,2,150,[1384.615385],[101.3286731],600,172800,
20,51.84262426,0,"seed-150-p1,seed-150-p2,seed-150-p3,seed-150-p4",60,seed-150-final,150,2,150,[1384.615385],[101.3286731],800,172800,
21,51.84262426,0,"seed-151-p1,seed-151-p2,seed-151-p3",60,seed-151-final,151,2,150,[1384.615385],[101.3286731],600,172800,
22,121.6849856,0,"seed-152-p1,seed-152-p2,seed-152-p3,seed-152-p4",90,seed-152-final,152,3,200,[3000],[117.0042734],1200,172800,
23,121.6849856,0,"seed-153-p1,seed-153-p2,seed-153-p3",90,seed-153-final,153,3,200,[3000],[117.0042734],900,172800,
24,121.6849856,0,"seed-154-p1,seed-154-p2,seed-154-p3,seed-154-p4",90,seed-154-final,154,3,200,[3000],[117.0042734],1200,172800,
65,203.6119137,0,"seed-413-p1,seed-413-p2,seed-413-p3",,seed-413-final,413,4,"250
",[5000],[130.8147545],1200,172800,
66,203.6119137,0,"seed-414-p1,seed-414-p2,seed-414-p3",,seed-414-final,414,4,"250
",[5000],[130.8147545],1200,172800,
67,203.6119137,0,"seed-415-p1,seed-415-p2,seed-415-p3",,seed-415-final,415,4,"250
",[5000],[130.8147545],1200,172800,
68,294.5665435,0,"seed-416-p1,seed-416-p2,seed-416-p3",,seed-416-final,416,5,"300
",[6000],[143.3003838],1500,172800,
69,294.5665435,0,"seed-417-p1,seed-417-p2,seed-417-p3",,seed-417-final,417,5,"300
",[6000],[143.3003838],1500,172800,
70,294.5665435,0,"seed-418-p1,seed-418-p2,seed-418-p3",,seed-418-final,418,5,"300
",[6000],[143.3003838],1500,172800,
71,392.7345887,0,"seed-419-p1,seed-419-p2,seed-419-p3,seed-419-p4",,seed-419-final,419,6,"350
",[8400],[154.7821049],2400,172800,
72,392.7345887,0,"seed-420-p1,seed-420-p2,seed-420-p3,seed-420-p4",,seed-420-final,420,6,"350
",[8400],[154.7821049],2400,172800,
73,392.7345887,0,"seed-421-p1,seed-421-p2,seed-421-p3,seed-421-p4",,seed-421-final,421,6,"350
",[8400],[154.7821049],2400,172800,
95,496.9117652,0,"seed-497-p1,seed-497-p2,seed-497-p3,seed-497-p4",,seed-497-final,497,7,400,[9600],[165.4690303],2800,172800,
96,496.9117652,0,"seed-498-p1,seed-498-p2,seed-498-p3,seed-498-p4",,seed-498-final,498,7,400,[9600],[165.4690303],2800,172800,
97,496.9117652,0,"seed-499-p1,seed-499-p2,seed-499-p3,seed-499-p4",,seed-499-final,499,7,400,[9600],[165.4690303],2800,172800,
107,606.2395329,0,"seed-509-p1,seed-509-p2,seed-509-p3,seed-509-p4",,seed-509-final,509,8,450,[13500],[175.5064101],3200,172800,
108,606.2395329,0,"seed-510-p1,seed-510-p2,seed-510-p3,seed-510-p4",,seed-510-final,510,8,450,[13500],[175.5064101],3200,172800,
109,606.2395329,0,"seed-511-p1,seed-511-p2,seed-511-p3,seed-511-p4",,seed-511-final,511,8,450,[13500],[175.5064101],3200,172800,
119,720.0745592,0,"seed-521-p1,seed-521-p2,seed-521-p3,seed-521-p4",,seed-521-final,521,9,500,[15000],[185],3600,172800,
120,720.0745592,0,"seed-522-p1,seed-522-p2,seed-522-p3,seed-522-p4",,seed-522-final,522,9,500,[15000],[185],3600,172800,
121,720.0745592,0,"seed-523-p1,seed-523-p2,seed-523-p3,seed-523-p4",,seed-523-final,523,9,500,[15000],[185],3600,172800,
,16.66666667,1,seed-692-p1,30,,692,1,100,[600],[82.73451517],300,0,Totem/TotemTest
