col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,resetCost-int,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,preNode-int[],upgradeToken-int[]
0,"戰鬥攻擊力 + 5
戰鬥防禦 + 5
戰鬥最大生命值 + 20
最大精力值 + 10
解鎖精力值配方","51,588#1199,10000","1,2,3",talentTree-1,1,1,1,1,戰鬥主幹 1,0,2,450,0,,0
0,"戰鬥攻擊力 + 5
戰鬥防禦力 + 5
戰鬥最大血量 + 20
最大精力值 + 10
解鎖精力值配方","52,585#1194,10000","1,2,3",talentTree-2,2,1,2,1,戰鬥主幹 2,0,2,900,1,1,0
0,"戰鬥攻擊力 + 5
戰鬥防禦力 + 5
戰鬥最大血量 + 20
最大精力值 + 10
解鎖精力值配方","53,592#1192,10000","1,2,3",talentTree-3,3,1,3,1,戰鬥主幹 3,10000,2,1800,2,2,500
0,"戰鬥攻擊力 +5
戰鬥防禦值 +5
戰鬥最大血量 +20
最大精力值 +10
解鎖精力值配方","54,590#1197,10000","1,2,3",talentTree-4,4,1,4,1,戰鬥主幹 4,20000,2,3600,3,3,2500
0,"戰鬥攻擊力+5
戰鬥防禦值+5
戰鬥最大血量+20
最大精力值+10
解鎖精力值配方","55,589#1196,10000","1,2,3",talentTree-5,5,1,5,1,戰鬥主幹 5,30000,2,7200,4,4,5000
0,"戰鬥攻擊力 + 5
戰鬥防禦值 + 5
戰鬥最大血量 + 20
最大精力值 + 10
解鎖精力值配方","56,595#1195,10000","1,2,3",talentTree-6,6,1,6,1,戰鬥主幹 6,40000,2,14400,5,5,8000
0,"戰鬥攻擊力 +5
戰鬥防禦 +5
戰鬥最大血量 +20
最大精力值 +10
解鎖精力值配方","57,614#1200,10000","1,2,3",talentTree-7,7,1,7,1,戰鬥主幹 7,50000,2,28800,6,6,11500
0,"戰鬥攻擊力 + 5
戰鬥防禦 + 5
戰鬥最大血量 + 20
最大精力值 + 10
解鎖精力值配方 ","58,615#1193,10000","1,2,3",talentTree-8,8,1,8,1,戰鬥主幹 8,60000,2,57600,7,7,15500
0,"戰鬥攻擊力 + 5
戰鬥防禦 + 5
戰鬥最大血量 + 20
最大精力值 + 10
解鎖精力值配方","59,619#1198,10000","1,2,3",talentTree-9,9,1,9,1,戰鬥主幹 9,70000,2,115200,8,8,20000
-1,減少敵人的移動速度。,332,1,talentTree-10,10,0,2,1,Trampling - Enhance,0,2,175,0,11,0
-1,使周圍的敵人昏迷。,63,0,talentTree-11,11,0,1,1,踐踏,0,2,95,0,,0
0,"肥沃度容量 + 1
種植熟練度 + 4
寵物幸福指數容量 + 1
養殖熟練度 + 4
最大精力值 + 10
農業健身：根據一定百分比將農業熟練度轉換為戰鬥防禦和生命上限，佩戴農業工具時有效
解鎖精力值配方","66#531,591#597#1183,10000","1,2,3",talentTree-13,13,1,1,1,農牧主幹 1,0,1,450,0,,0
0,"肥沃度容量 + 1
種植熟練度 + 4
寵物幸福指數容量 + 1
養殖熟練度 + 4
最大精力值 + 10
解鎖精力值配方","67,593#598#1184,10000","1,2,3",talentTree-14,14,1,2,1,農牧主幹 2,0,1,900,1,13,0
